frame,timestep,chain,rx,ry,rz,distance
0,0,1,21.85770034790039,0.6278495788574219,-27.42464828491211,35.07512664794922
0,0,2,-11.26533031463623,17.098325729370117,-34.75782775878906,40.34063720703125
0,0,3,-16.857385635375977,-8.258389472961426,30.28569984436035,35.63139343261719
0,0,4,-8.988100051879883,-30.28422737121582,13.321229934692383,34.283748626708984
0,0,5,-31.10792350769043,39.825523376464844,6.305198669433594,50.926719665527344
0,0,6,14.530799865722656,-23.2136287689209,-8.88656997680664,28.79214859008789
0,0,7,-12.964700698852539,-19.871822357177734,16.734901428222656,29.03497314453125
0,0,8,-10.819995880126953,-1.398399829864502,-8.290397644042969,13.70250129699707
0,0,9,30.81012725830078,-11.890998840332031,-9.227259635925293,34.28997039794922
0,0,10,29.243328094482422,-12.145301818847656,-10.697996139526367,33.4234619140625
1,1000,1,23.49160385131836,0.6793498992919922,-28.365432739257812,36.83632278442383
1,1000,2,-9.002650260925293,16.042009353637695,-34.39885330200195,39.00865173339844
1,1000,3,-16.520002365112305,-7.212819576263428,31.9685115814209,36.70042419433594
1,1000,4,-9.161901473999023,-31.7381534576416,14.410100936889648,36.040279388427734
1,1000,5,-31.86174774169922,39.552547454833984,4.556499481201172,50.99349594116211
1,1000,6,14.735000610351562,-23.481754302978516,-10.505529403686523,29.645896911621094
1,1000,7,-13.113900184631348,-19.514751434326172,18.6593017578125,30.01615333557129
1,1000,8,-10.988500595092773,-2.2083992958068848,-5.943397521972656,12.68653392791748
1,1000,9,31.487651824951172,-10.788799285888672,-9.669651985168457,34.66082000732422
1,1000,10,28.525150299072266,-12.215898513793945,-11.419498443603516,33.06534957885742
2,2000,1,22.234397888183594,-0.11964988708496094,-28.31352996826172,36.00053787231445
2,2000,2,-11.379621505737305,17.08761978149414,-34.817222595214844,40.4193229675293
2,2000,3,-16.010498046875,-9.872729301452637,32.10834884643555,37.2122688293457
2,2000,4,-8.050800323486328,-30.303218841552734,14.57680892944336,34.57721710205078
2,2000,5,-33.18642044067383,40.04452133178711,4.468698501586914,52.20030212402344
2,2000,6,14.911901473999023,-23.277616500854492,-11.270479202270508,29.853574752807617
2,2000,7,-12.476299285888672,-18.68431854248047,16.65570068359375,27.967376708984375
2,2000,8,-8.890602111816406,-1.968099594116211,-6.827001571655273,11.380868911743164
2,2000,9,29.587421417236328,-11.19980239868164,-12.119318962097168,33.878150939941406
2,2000,10,28.89672088623047,-13.247798919677734,-11.309198379516602,33.74052047729492
3,3000,1,22.057098388671875,-0.6504697799682617,-28.536100387573242,36.072811126708984
3,3000,2,-12.147504806518555,18.15030288696289,-34.932498931884766,41.197998046875
3,3000,3,-16.410099029541016,-8.919129371643066,32.17229461669922,37.20079040527344
3,3000,4,-7.593500137329102,-31.93960189819336,14.927619934082031,36.064292907714844
3,3000,5,-31.204299926757812,40.70179748535156,5.997200012207031,51.63633346557617
3,3000,6,12.559000015258789,-23.541500091552734,-11.471620559692383,29.043567657470703
3,3000,7,-13.21679973602295,-18.652801513671875,17.652999877929688,28.88319969177246
3,3000,8,-10.65719985961914,-1.6753005981445312,-6.494699478149414,12.592206001281738
3,3000,9,29.610000610351562,-11.148698806762695,-14.053604125976562,34.62007141113281
3,3000,10,29.078502655029297,-12.074901580810547,-11.78609848022461,33.61955642700195
4,4000,1,22.058101654052734,-0.39557981491088867,-28.05597686767578,35.69109344482422
4,4000,2,-10.575214385986328,16.762178421020508,-35.60450744628906,40.74906921386719
4,4000,3,-15.984304428100586,-8.426149368286133,32.227867126464844,36.94771194458008
4,4000,4,-9.248900413513184,-30.633703231811523,15.169678688049316,35.413063049316406
4,4000,5,-31.57900619506836,40.280208587646484,5.69310188293457,51.49893569946289
4,4000,6,11.715299606323242,-22.717300415039062,-10.767478942871094,27.73558235168457
4,4000,7,-12.132499694824219,-18.364408493041992,18.4070987701416,28.69268798828125
4,4000,8,-10.218700408935547,-1.0652995109558105,-5.517301559448242,11.661788940429688
4,4000,9,28.9657039642334,-14.10190200805664,-9.626160621643066,33.62348556518555
4,4000,10,28.79550552368164,-10.512802124023438,-13.082401275634766,33.32940673828125
5,5000,1,22.645498275756836,-0.16885995864868164,-25.6600341796875,34.22403335571289
5,5000,2,-9.496793746948242,16.958284378051758,-36.15967559814453,41.052337646484375
5,5000,3,-17.784833908081055,-9.94970989227295,33.51625061035156,39.2254524230957
5,5000,4,-7.7170000076293945,-31.65987777709961,16.36069107055664,36.46329879760742
5,5000,5,-30.97067642211914,41.694175720214844,5.481101989746094,52.226715087890625
5,5000,6,12.635797500610352,-23.270673751831055,-10.632010459899902,28.53466796875
5,5000,7,-10.855000495910645,-19.26917266845703,18.417198181152344,28.7806396484375
5,5000,8,-10.93330192565918,-0.9534006118774414,-6.512899398803711,12.761815071105957
5,5000,9,30.239473342895508,-12.841699600219727,-10.186176300048828,34.396121978759766
5,5000,10,27.495075225830078,-14.027299880981445,-10.443899154663086,32.5855712890625
6,6000,1,21.84649658203125,-1.4502804279327393,-27.937637329101562,35.494850158691406
6,6000,2,-11.56338119506836,18.966079711914062,-36.57697677612305,42.79368209838867
6,6000,3,-17.05394744873047,-9.972709655761719,33.530120849609375,38.917362213134766
6,6000,4,-10.653800964355469,-33.00217819213867,16.044170379638672,38.21076583862305
6,6000,5,-30.19997787475586,40.95708084106445,4.904802322387695,51.123165130615234
