temperature,mean_density,std_density,n_points
95.0,1.1263949,0.0005603114134121605,2
100.0,1.1279426598790323,0.0018719218548243057,496
105.0,1.1252691,0.0,1
115.0,1.1214078571428572,0.0016424143801704021,7
120.0,1.12297416446281,0.0021882788240860894,484
125.0,1.1230677,0.0018208541151260229,8
135.0,1.118467211111111,0.0023544522942187036,18
140.0,1.118338471855011,0.002295880717426455,469
145.0,1.118066353846154,0.0024965682294619865,13
155.0,1.114849196153846,0.003236420192926879,26
160.0,1.1155432488789239,0.002808932026743244,446
165.0,1.1149648964285714,0.0026613465151480173,28
175.0,1.1090194525,0.0025342555942360384,40
180.0,1.1091112388235294,0.0027436217978427132,425
185.0,1.1093966028571427,0.0031628726317073593,35
195.0,1.1021671,0.0028893144998742566,50
200.0,1.1027689495073891,0.003223302839119958,406
205.0,1.1019723318181815,0.0030844169750818893,44
215.0,1.0953714984375,0.003459179647977491,64
220.0,1.095284974468085,0.003278043605475641,376
225.0,1.0945867,0.0035515626725834562,60
235.0,1.089689893150685,0.003994442951092907,73
240.0,1.0887603084302326,0.0033882865810971555,344
245.0,1.0886641865853661,0.003415146847981002,82
250.0,1.086206,0.0,1
255.0,1.0807710177215188,0.0037983611603291762,79
260.0,1.0812144317784256,0.0036652724362668263,343
265.0,1.0808214727272727,0.0040201720096623705,77
270.0,1.0750019,0.0,1
275.0,1.067868787356322,0.004214283377570404,87
280.0,1.068270691411043,0.0041534054377938175,326
285.0,1.068159934117647,0.004637310452282233,85
290.0,1.0711393999999999,0.00175419050276763,2
295.0,1.061052535714286,0.0042366906609452165,84
300.0,1.0606834754658385,0.004055590988895363,322
305.0,1.0604339303370787,0.004375397952976415,89
310.0,1.06065576,0.007099274394471629,5
315.0,1.0497057918367347,0.004793696497123134,98
320.0,1.049637717056856,0.004250952210479659,299
325.0,1.0496835762886598,0.0039956201394405234,97
330.0,1.0499905777777778,0.0037915581947853753,9
335.0,1.0353351767857144,0.0049352331826757875,112
340.0,1.0355334830324912,0.005059918343604989,277
345.0,1.0351316134020618,0.005232263816269946,97
350.0,1.0354099555555554,0.005718231009388465,18
355.0,1.02185852,0.005554441239473982,105
360.0,1.0216398372623576,0.0056267179007514455,263
365.0,1.0229842839285712,0.0055148315230210835,112
370.0,1.0190280125000002,0.003977341896941562,16
375.0,1.0098479335576924,0.005860774651538013,104
380.0,1.0108602044531252,0.00534119401333988,256
385.0,1.0114333884166666,0.005120760566843682,120
390.0,1.0124025791666666,0.005450390927980126,24
395.0,0.9964843037272728,0.00667646053835658,110
400.0,0.996357054448819,0.006744605658288354,254
405.0,0.9961286964655173,0.007019641815146639,116
410.0,0.9933497751851852,0.00966510085535876,27
415.0,0.984786201440678,0.006065272799886093,118
420.0,0.9859282211504424,0.005969169078946435,226
425.0,0.985264051147541,0.006322560247679274,122
430.0,0.9863710854054054,0.007252416050911195,37
435.0,0.9729260962184876,0.005183714990954929,119
440.0,0.9723064943192489,0.006145528162145904,213
445.0,0.9715025376377951,0.005918737682180707,127
450.0,0.9707097915789473,0.004947572216257253,19
455.0,0.974939505,0.00023288561838379367,2
