frame,timestep,chain,rx,ry,rz,distance
0,0,1,12.663721084594727,-31.34833526611328,-8.665611267089844,34.90244674682617
0,0,2,43.32383728027344,12.485038757324219,-6.002538681030273,45.4847412109375
0,0,3,3.3973007202148438,7.175540924072266,-16.89349937438965,18.6660213470459
0,0,4,14.947120666503906,-7.515409469604492,7.248600006103516,18.23293685913086
0,0,5,-8.735398292541504,0.22809886932373047,0.7438993453979492,8.76998233795166
0,0,6,-7.688429832458496,4.639530181884766,-11.294740676879883,14.429427146911621
0,0,7,-4.036598205566406,14.384580612182617,5.387400150299072,15.881887435913086
0,0,8,-4.16119909286499,11.55548095703125,-23.32208251953125,26.358381271362305
0,0,9,7.571800231933594,17.515522003173828,7.608617782592773,20.543045043945312
0,0,10,17.600242614746094,33.82509994506836,-18.879037857055664,42.54790115356445
1,1000,1,14.368070602416992,-30.429237365722656,-8.296512603759766,34.658504486083984
1,1000,2,43.90363693237305,12.116241455078125,-6.801941394805908,46.049964904785156
1,1000,3,3.7507972717285156,5.1576385498046875,-16.479629516601562,17.6705379486084
1,1000,4,15.031930923461914,-7.943891525268555,6.730899810791016,18.285770416259766
1,1000,5,-9.787636756896973,-1.1451997756958008,1.0696001052856445,9.912283897399902
1,1000,6,-7.687329292297363,5.266458511352539,-11.703510284423828,14.960039138793945
1,1000,7,-4.306102752685547,14.113529205322266,5.340999126434326,15.692688941955566
1,1000,8,-4.130000114440918,12.252408981323242,-23.694150924682617,26.992427825927734
1,1000,9,7.803799629211426,17.774494171142578,8.446451187133789,21.17013168334961
1,1000,10,18.59878921508789,33.471702575683594,-18.412437438964844,42.488677978515625
2,2000,1,13.345141410827637,-30.40526580810547,-9.91843032836914,34.654701232910156
2,2000,2,43.712738037109375,10.838138580322266,-5.439637660980225,45.363624572753906
2,2000,3,3.9186019897460938,5.729137420654297,-16.70751953125,18.091978073120117
2,2000,4,14.14375114440918,-6.845489501953125,7.150798797607422,17.263845443725586
2,2000,5,-9.381237983703613,-0.6989002227783203,0.09459972381591797,9.40771198272705
2,2000,6,-8.735581398010254,4.557130813598633,-12.132560729980469,15.629358291625977
2,2000,7,-4.956596374511719,14.184700012207031,5.450398921966553,15.98375415802002
2,2000,8,-4.06350040435791,11.950361251831055,-23.120140075683594,26.341299057006836
2,2000,9,7.973799705505371,18.425106048583984,7.69963264465332,21.50233268737793
2,2000,10,17.279600143432617,33.99079895019531,-19.00543785095215,42.604759216308594
3,3000,1,14.17734146118164,-31.227947235107422,-9.060728073120117,35.47222137451172
3,3000,2,42.843238830566406,11.812141418457031,-6.6529388427734375,44.93696975708008
3,3000,3,2.7815017700195312,6.147941589355469,-16.637121200561523,17.953487396240234
3,3000,4,15.087301254272461,-5.995849609375,7.719898223876953,17.977033615112305
3,3000,5,-9.15773868560791,-1.009200096130371,-0.10299968719482422,9.213754653930664
3,3000,6,-8.998919486999512,5.132030487060547,-12.355560302734375,16.123838424682617
3,3000,7,-4.662403106689453,13.206958770751953,5.071299076080322,14.895631790161133
3,3000,8,-4.807098865509033,11.9462890625,-23.782590866088867,27.04503059387207
3,3000,9,7.81820011138916,18.49091148376465,6.875568389892578,21.220544815063477
3,3000,10,17.331571578979492,34.09949493408203,-18.77083396911621,42.60871887207031
4,4000,1,13.899290084838867,-30.965986251831055,-9.312660217285156,35.19670867919922
