r,g_r
0.05,13612.383851595381
0.15000000000000002,0.0
0.25,0.0
0.35000000000000003,0.0
0.45,0.0
0.55,0.0
0.6500000000000001,0.0
0.75,0.0
0.8500000000000001,0.0
0.95,0.0
1.05,0.0
1.1500000000000001,0.0
1.25,0.0
1.35,0.0002621184755116263
1.4500000000000002,0.012270135546216216
1.55,0.21854827726663054
1.6500000000000001,2.5906461881517
1.75,5.8605891975222555
1.85,1.6610720886422778
1.9500000000000002,0.156070532149199
2.05,0.5660108618477329
2.1500000000000004,1.3081894673806755
2.25,2.2809406514311616
2.3500000000000005,3.510055081257467
2.45,4.44880313312149
2.55,4.277700433496501
2.6500000000000004,3.2582442406771617
2.75,2.305940675354137
2.8500000000000005,1.9163457006349947
2.95,3.047362491759141
3.05,4.3906484414798035
3.1500000000000004,2.3189125819068783
3.25,1.0913801075611933
3.3500000000000005,0.8641053559488613
3.45,0.7592532129495672
3.55,0.809231346807115
3.6500000000000004,1.010933578595736
3.75,1.1739798191259467
3.8500000000000005,1.0516272810259066
3.95,0.7940815099911348
4.050000000000001,0.6356334147497676
4.15,0.6731339420343905
4.25,0.7810030630380629
4.35,0.924978931616056
4.45,1.1077647835413558
4.550000000000001,1.259314221644224
4.65,1.3267015317472224
4.75,1.2753067156095927
4.8500000000000005,1.1662302464538876
4.95,1.0737904247708985
5.050000000000001,0.9675211580692414
5.15,0.883805917032951
5.25,0.8350788101119963
5.3500000000000005,0.7924154396325218
5.45,0.7519543400857969
5.550000000000001,0.71430294074835
5.65,0.6783732340214498
5.75,0.6626879086477719
5.8500000000000005,0.6760742925049665
5.95,0.7024495034051794
6.050000000000001,0.7280446998999033
6.15,0.7548647110870128
6.25,0.7707268444897687
6.3500000000000005,0.7731693526195197
6.45,0.7894392721357272
6.550000000000001,0.8193233772832225
6.65,0.8518648535772605
6.75,0.8905031182294342
6.8500000000000005,0.9110976034447621
6.95,0.9116343287615435
7.050000000000001,0.8813599348645489
7.15,0.8571410703094663
7.25,0.8503802536472228
7.3500000000000005,0.8513730353740565
7.45,0.8546499695108812
7.550000000000001,0.8527270249518021
7.65,0.8497299170710739
7.75,0.8455681341660981
7.8500000000000005,0.8504076426352544
7.95,0.8506845065758424
8.05,0.862839362246388
8.15,0.8706986854797494
8.25,0.8895257925149932
8.350000000000001,0.9006398963964096
8.45,0.9160219648700171
8.55,0.9284809021114471
8.65,0.9356254349994844
8.75,0.9489443478277126
8.850000000000001,0.9551162967852627
8.95,0.9646850170142898
9.05,0.9756831181456616
9.15,0.977803841084016
9.25,0.9894305028242846
9.350000000000001,0.9871527203706396
9.45,0.9795045346326009
9.55,0.9751079361131487
9.650000000000002,0.9710979767311179
9.75,0.9765987532340306
9.850000000000001,0.9827903638714098
9.95,0.9893480367110354
10.05,0.9923142076847581
10.150000000000002,1.0035681400158696
10.25,1.0109936711312781
10.350000000000001,1.0185262402245707
10.45,1.024260622861237
10.55,1.0282687759555034
10.650000000000002,1.035030899473169
10.75,1.033602010896109
10.850000000000001,1.0384438495556303
10.95,1.039150562618644
11.05,1.0364599513461328
11.150000000000002,1.0382383150810066
11.25,1.0356474452077904
11.350000000000001,1.0324891581906679
11.45,1.033234389461562
11.55,1.0269671338544242
11.650000000000002,1.0308259003343163
11.75,1.0309745842967257
11.850000000000001,1.0305766489081067
11.95,1.0314164142250204
12.05,1.0337815660847967
12.150000000000002,1.0335336934565338
12.25,1.0322165711410178
12.350000000000001,1.034491387684167
12.45,1.035703054304958
12.55,1.0365203487450478
12.650000000000002,1.0363282840070243
12.75,1.0362763553864378
12.850000000000001,1.0378545083040231
12.95,1.0369521406238553
13.05,1.0383913471980377
13.150000000000002,1.0306486583292207
13.25,1.031464991420607
13.350000000000001,1.0247748562243557
13.45,1.0220974208516944
13.55,1.0184942554754228
13.650000000000002,1.015848473029538
13.75,1.0141170645022803
13.850000000000001,1.011836246241671
13.95,1.005793201099301
14.05,1.0088521235687276
14.150000000000002,1.0076307405710543
14.25,1.0075444929990844
14.350000000000001,1.0062649864650834
14.45,1.006977410286751
14.55,1.0060626985341017
14.650000000000002,1.0067513879946803
14.75,1.0070543878451221
14.850000000000001,1.0019048386510003
14.95,1.003330889562318
