temperature,mean_density,std_density,n_points
200.0,1.0823123393999998,0.0027867537918625958,500
225.0,1.0745967173652693,0.0030291722974234744,501
250.0,1.068985157285429,0.00339668088074988,501
275.0,1.0602533025948102,0.003489001957421814,501
300.0,1.0512887183632735,0.003920453569644989,501
325.0,1.0444708205588822,0.004214762265342676,501
350.0,1.0385495457085827,0.004412256343244736,501
375.0,1.0280243173652694,0.004625185664415849,501
400.0,1.0194563235528942,0.0048354103667156865,501
425.0,1.00564268750499,0.005273137745092318,501
450.0,0.9892809412925169,0.005257170733969651,147
475.0,0.9872852977136751,0.0057193221106333686,468
480.0,0.99500735125,0.004098772300570824,8
500.0,0.9719182441849149,0.0057268545749745384,411
525.0,0.9598410846271929,0.0059891416626095114,456
550.0,0.9484608620902615,0.006713875405833851,842
555.0,0.9500796047058823,0.008071889064446029,17
570.0,0.9259265054166667,0.007765606373629291,24
575.0,0.9263753954202899,0.007132286999947338,690
580.0,0.923396028888889,0.006311615335926009,18
590.0,0.89067075,0.00731974954483416,3
600.0,0.9040504505815834,0.007083138896640844,619
605.0,0.9084468907692307,0.009434729667905605,13
