temperature,mean_density,std_density,n_points
80.0,0.9857591716129035,0.0012136457741337766,62
95.0,0.98210594,0.0,1
100.0,0.9808497188709678,0.0012066339451047472,62
120.0,0.9755601474193547,0.0013128759332378644,62
125.0,0.97385508,0.0,1
135.0,0.9703462700000001,0.00012295172711276686,2
140.0,0.9697191145762711,0.0013867036720748738,59
145.0,0.971583485,0.0023595092628022935,2
155.0,0.96188961,0.0022407931053089205,2
160.0,0.9642647189655172,0.0018337674428820958,58
165.0,0.96634929,0.002348315762456154,2
175.0,0.9575308166666666,0.0021443384389845444,6
180.0,0.9574696398113207,0.0019509612121390639,53
185.0,0.95706625,0.0007574016410069654,4
195.0,0.9483443433333333,0.0028231663819858438,9
200.0,0.9485429616666666,0.001916590468557991,48
205.0,0.9490808049999999,0.0013952606702512741,6
215.0,0.9408268099999999,0.0009388095714609237,4
220.0,0.9401069375510204,0.002029353603468484,49
225.0,0.9392883511111112,0.0018104942970943202,9
235.0,0.9314276969999999,0.0017361434217576203,10
240.0,0.9314176693617022,0.002220988631166611,47
245.0,0.9310953316666667,0.003501781071343061,6
255.0,0.91785685375,0.0025137651056529103,8
260.0,0.918497278723404,0.002897243116860981,47
265.0,0.9182617685714286,0.0037399616503489687,7
275.0,0.90850309875,0.00225257973537287,8
280.0,0.9088127530952382,0.0023193912082578616,42
285.0,0.9089379608333333,0.0030255951006566183,12
295.0,0.8972285624999999,0.0027257254626283332,12
300.0,0.8969719510256411,0.003153289031108541,39
305.0,0.8958538766666666,0.0025443447417944315,12
315.0,0.8852151199999999,0.0033220296180196665,6
320.0,0.8859989538095238,0.0039121553307713535,42
325.0,0.8866331020000001,0.003120677323618332,15
335.0,0.8751596100000001,0.003476892867278674,10
340.0,0.8748512048648649,0.0033272984492324306,37
345.0,0.8737561966666667,0.005275515940231629,15
350.0,0.86649177,0.0,1
355.0,0.86154089,0.0032905309839750896,13
360.0,0.862164075483871,0.00343391137687316,31
365.0,0.8620836964705881,0.0037021546816110086,17
370.0,0.8628671,0.0,1
375.0,0.8501311514285713,0.003053235537377612,14
380.0,0.8506633674999999,0.003386094836131493,36
385.0,0.8527333616666665,0.0026077233664141574,12
390.0,0.85603893,0.0,1
395.0,0.8401425499999999,0.0042103428551648215,17
400.0,0.8405274503125,0.0036245085518128387,32
405.0,0.8398692799999999,0.0047589951767191855,12
410.0,0.84780506,0.0,1
