step,strain_xx,sigma_xx_GPa,sigma_yy_GPa,sigma_zz_GPa,sigma_xx_avg_GPa,sigma_yy_avg_GPa,sigma_zz_avg_GPa
200000.0,0.0,-0.08029653841650002,-0.008656771795875,0.11161578991500001,0.004912355605641068,-0.0043874604696050624,-0.004582085256329511
200000.0,0.0,-0.08028509679750001,-0.008644565781075,0.11162877978,0.004895785013286032,-0.004486908530954108,-0.004520342751628133
200100.0,9.999999999999999e-06,0.054901860993000005,-0.10320903705000002,0.09821395469025002,0.00491976056599408,-0.0045719246043643335,-0.00449322651468514
200200.0,1.9999999999999998e-05,-0.15980834105250002,-0.352580784885,-0.27890737738500004,0.004990580267337555,-0.004522849510743582,-0.004615125783446671
200300.0,2.9999999999999997e-05,0.32818673034,-0.08412783729000001,-0.12594071311500002,0.004990964170625865,-0.004449546115688061,-0.004506432392091146
200400.0,3.9999999999999996e-05,-0.025276244710500002,-0.18218882466750003,0.22141349522250003,0.004844513029645142,-0.004505668094817724,-0.004504203609908319
200500.0,4.9999999999999996e-05,0.062395340222250004,-0.06541323340650002,0.03049701229575,0.004925908228432523,-0.004526679562261991,-0.0046076044596748125
200600.0,5.9999999999999995e-05,-0.1112293464975,-0.2150934294075,-0.09285107169975002,0.005171314778957913,-0.004418026465196685,-0.004344838395489436
200700.0,7e-05,-0.06684289571925,-0.15512543392500003,-0.22082772526500002,0.00505880395042224,-0.004535261799048177,-0.0042090546004071045
200800.0,7.999999999999999e-05,0.11347575214500001,-0.08842657068000001,-0.011384807085750001,0.00489515844046642,-0.00462112245966359,-0.004293146496548673
200900.0,8.999999999999999e-05,-0.008555279812275001,-0.15776818244250002,-0.1283970438975,0.004824516069258038,-0.004379930302396596,-0.004144581437866447
201000.0,9.999999999999999e-05,-0.22334128440750003,-0.004590480185025,0.3485848207275001,0.005044630904115349,-0.0044706630914508536,-0.00413513631158112
201100.0,0.00010999999999999999,0.07415111535825,-0.18787985475000002,-0.02520787971975,0.0050979604326947805,-0.004505640177653471,-0.004221679612841167
201200.0,0.00011999999999999999,-0.11240221377000001,0.05891406146850001,0.1555559739825,0.005050465322423612,-0.004484898220850752,-0.004288518073114522
201300.0,0.00013,-0.26600135882250003,-0.2072651409675,-0.1310049670125,0.005261119745875363,-0.004461201616495377,-0.004290192775946041
201400.0,0.00014,-0.1744087061325,-0.037087647271500004,0.024556661918250004,0.005237281517767604,-0.0045780577886909484,-0.004411084301223435
201500.0,0.00015,0.01147477355325,0.07623716000775001,-0.019283355294,0.005422993782457301,-0.004536993694495386,-0.004081390222078529
201600.0,0.00015999999999999999,0.07529061225525001,-0.20074152336000003,-0.15837636549000003,0.005398285268993725,-0.004558921379323562,-0.004167804700385728
201700.0,0.00016999999999999999,-0.184786544355,-0.16990257060000002,-0.12398799798000001,0.005627991986865538,-0.004407258800549668,-0.004039576734977688
201800.0,0.00017999999999999998,0.09872923487175002,-0.07574244576150001,-0.0007252041512625,0.005607849728095798,-0.004442874154970866,-0.0038774919627991033
201900.0,0.00018999999999999998,-0.1122845450475,0.26225059103250004,0.15958713844500003,0.005593748656483596,-0.004387449954270405,-0.00396833673622577
202000.0,0.00019999999999999998,0.009323095331025,-0.1813340267025,-0.09821899560900002,0.005733000883499773,-0.004004491931744185,-0.003961516643310564
202100.0,0.00020999999999999998,0.0047462703109500005,-0.11911284693000002,-0.06591106846275001,0.005735811772090428,-0.0041988357937923805,-0.003793876460337657
202200.0,0.00021999999999999998,-0.01945935985875,0.15727312875750002,-0.26558538930000003,0.005695730959690536,-0.00418202138473662,-0.003667183399599302
202300.0,0.00022999999999999998,-0.047988075261000004,-0.17159278305750003,-0.05138149105425,0.005542037321431561,-0.004147614804565979,-0.0034834489676758653
202400.0,0.00023999999999999998,0.10948928214,-0.07931070088200001,-0.10054211036100001,0.005543241818091139,-0.0038835453088834756,-0.0034248494660769134
202500.0,0.00025,-0.048334334196750005,0.0961257528315,0.13433781984,0.005647604559048165,-0.0038090851984574196,-0.0034258875993409712
202600.0,0.00026,-0.19523556339,-0.06381609910725,-0.18168549273,0.005791633466361653,-0.003647832060167782,-0.0034291753485622555
202700.0,0.00027,-0.052932947030250005,-0.06734579195925001,-0.214938432555,0.005757558557023753,-0.003703578192793592,-0.003501095970629802
202800.0,0.00028,-0.0926654513925,-0.008235568127850002,-0.036182038872,0.005839956319292194,-0.0036052776027512756,-0.0034412889986095104
202900.0,0.00029,0.101967704475,-0.0002810483645025,-0.058974548440500006,0.0058333505138606,-0.003598103578346468,-0.0034930296033183848
203000.0,0.0003,-0.18223845365250002,0.06737871650475001,-0.18621998913,0.005923840195410444,-0.0035669562112959382,-0.0034211933466294234
203100.0,0.00031,0.07525794912825,-0.10793060979750001,-0.079422535311,0.005992769493050793,-0.003553845961320894,-0.003468412515508175
203200.0,0.00031999999999999997,0.10492453009500001,0.10259620318500001,-0.057203069280000005,0.006176929658355197,-0.003625332001145365,-0.0035174399684021643
203300.0,0.00033,-0.09573098252550001,0.015383444196750001,0.014585155184250001,0.006268804138716072,-0.0035075009386490927,-0.003370519440275083
203400.0,0.00033999999999999997,-0.08796944800875,-0.22175796982500004,-0.032070299756250004,0.006332286520838327,-0.0035921484004134423,-0.003264311099955977
203500.0,0.00035,0.1086585285975,-0.09631282005975002,0.037805437624500005,0.006259930489055423,-0.0036668005352009287,-0.0032576524730314046
203600.0,0.00035999999999999997,0.008031415376775002,-0.10785624738,-0.14911902978000002,0.006282428607001367,-0.003523681463554159,-0.0034298650263385106
203700.0,0.00037,0.01131214490175,0.0586417849815,-0.05836700678025,0.006341739748291106,-0.0035195093770812496,-0.003388192564906104
203800.0,0.00037999999999999997,-0.1312601236275,-0.09570847621650001,-0.3249695501325,0.006241977513793954,-0.003344394279369911,-0.0033238938019208722
203900.0,0.00039,-0.07987022766450001,-0.040283394201750006,-0.04938540172650001,0.006193912509554488,-0.0033845070351717185,-0.0032613096331990726
204000.0,0.00039999999999999996,0.04540366258575,-0.054281391276000006,0.025464910847250003,0.006322721778205253,-0.003325091707188364,-0.0032608648356658126
204100.0,0.00041,0.2143469073375,0.10753485461250001,0.04052456594025,0.006403034126865324,-0.003264328964546869,-0.003408727588059608
204200.0,0.00041999999999999996,-0.026437354230000005,-0.1335372611475,-0.057729672530250006,0.006384646907065118,-0.003307618804763507,-0.0034294551813078725
204300.0,0.00043,-0.0632572886925,0.06117125822850001,0.007820410522575,0.006342999744024347,-0.0033385669401842315,-0.0035126251462134685
204400.0,0.00043999999999999996,-0.028495890155250003,0.09444736601475001,-0.04136641963650001,0.006363545837969778,-0.0031511186481075,-0.003547855385736709
204500.0,0.00045,0.004455780857850001,-0.07145872873650001,-0.06407401581525,0.006417926340232235,-0.003095064765643487,-0.003588776915778548
204600.0,0.00045999999999999996,0.0408427882485,0.1028802272925,-0.259138099815,0.006442526067446913,-0.003208784898930838,-0.003489328666295951
204700.0,0.00047,-0.23415972426,-0.09924998862975,0.021314618582250002,0.006548957065395438,-0.003163912605928519,-0.0034342097539130354
204800.0,0.00047999999999999996,0.07755228960675001,0.1577303679525,0.025459383568500003,0.006471387877686528,-0.0033379925404915037,-0.003433428122422484
204900.0,0.00049,-0.14808646723500002,-0.01552107597075,-0.21079550661750004,0.006561290076896351,-0.00302897372432675,-0.00336742215610232
205000.0,0.0005,0.1059423903825,-0.08958572665350001,0.10237324765500001,0.006517400818767525,-0.003039312628805744,-0.0034397731130139737
205100.0,0.0005099999999999999,-0.089664535212,0.032555488439250005,-0.039836680647750006,0.006394318495589039,-0.0028819183147431914,-0.0034263060129298343
205200.0,0.00052,0.036832550438250004,0.021244306125,-0.05350139142600001,0.006523016736191518,-0.0029514310894611464,-0.0034427277565236814
205300.0,0.00053,0.13410558294,-0.10158135225,0.05351886492225,0.006536872427175207,-0.0028188418992363255,-0.0035558123032608502
205400.0,0.00054,-0.32589450552750004,0.035485479146250005,0.05354422454325001,0.006460468241303951,-0.002940980340578282,-0.0035142029107075217
205500.0,0.0005499999999999999,0.19082030625000002,0.08004243558150001,-0.06636825598200001,0.006534891643384155,-0.002814244823028018,-0.0036708400973048633
205600.0,0.00056,0.04748332173375,0.019767686767500004,-0.0535539689685,0.006636898649201674,-0.002812917833352069,-0.0034543724372506487
205700.0,0.00057,-0.1516709910975,-0.0883364218275,0.09116855588925,0.006500771069060651,-0.0028288820352524928,-0.003841275705017898
205800.0,0.00058,0.0506108222235,0.13530662869500001,0.0074924609130000005,0.006572679151823578,-0.0026829888852498937,-0.0037659303533387023
205900.0,0.0005899999999999999,0.08836455674025001,-0.13895244405,0.044055157545,0.006442095535284122,-0.002632231065041639,-0.0037687568381239724
206000.0,0.0006,-0.1463126616525,-0.09063107540025,-0.0163971552255,0.006408925137735786,-0.002376072182409649,-0.003703000592902131
206100.0,0.00061,-0.08747850001275001,-0.08551472829375001,0.08966878478250001,0.006309665983384809,-0.0023978743686044134,-0.0036733544144933253
206200.0,0.00062,-0.095061246567,-0.0558725443605,0.10984830701250002,0.0064623361868670435,-0.002158318154755773,-0.003685479200445118
206300.0,0.0006299999999999999,0.027107154023250004,0.19613643383250004,-0.14389624278750002,0.006360710497368109,-0.002081721114940214,-0.0036375403039014677
206400.0,0.0006399999999999999,-0.026817109184250003,-0.25736257170750004,0.08137303345500001,0.006408029457718937,-0.0017512846402196124,-0.0037537706079870054
206500.0,0.00065,0.1047991809375,0.06716321849475,0.08855690198775,0.00640135722781218,-0.001725306142508337,-0.003812172604672759
206600.0,0.00066,-0.011514070428000001,0.018764760771750003,0.027152769525,0.006420750740331334,-0.0015666140757299787,-0.003735053129326299
206700.0,0.00067,-0.06157105526775001,0.09553177656225001,-0.13136160061500002,0.006570159824294038,-0.0014978070367541079,-0.003644412330824823
206800.0,0.0006799999999999999,-0.014672731395000003,-0.06482827607550001,-0.040698515634,0.0063941784281861865,-0.0014436126234442348,-0.003909620750440516
206900.0,0.00069,-0.00488546573235,-0.062722262295,0.04048050780375,0.006432521942202133,-0.0013050101229083058,-0.0038693174810534216
207000.0,0.0007,-0.1633326069375,-0.13702669149750002,0.059001838302750007,0.006265192270904559,-0.0012820119696301468,-0.00381574274024198
207100.0,0.00071,0.10150485187500001,0.15112577140500003,0.191655325575,0.006248132688203388,-0.0012439478180050253,-0.003890934010145673
