temperature,mean_density,std_density,n_points
200.0,1.0168798515,0.003091240306342347,200
215.0,1.014225632,0.0032711200506562016,200
235.0,1.008748506,0.00332990014208313,200
255.0,1.0044960553,0.0034099266166276714,200
275.0,0.9985892579500001,0.0037197044247731076,200
295.0,0.9921918583999999,0.0040216121409120354,200
310.0,0.98765723,0.004203975411786312,105
315.0,0.9838736303157893,0.005069274511476915,95
330.0,0.9788464581818181,0.004742124607965955,11
335.0,0.9802667842328042,0.004505877396804071,189
355.0,0.9731090069999999,0.004511396687990879,200
375.0,0.96616290625,0.0051222339481242956,200
395.0,0.9588457435999999,0.005234499357748495,200
410.0,0.9521079199999999,0.005336981590655002,22
415.0,0.9476252200571428,0.0049505010411987635,175
430.0,0.9402212363571428,0.0050329878193247305,140
435.0,0.939451088,0.0054065818962209435,60
455.0,0.9335803709452736,0.005458660326249494,201
470.0,0.9257042293478257,0.005730743666303862,46
475.0,0.9300076740983606,0.005703373056362388,61
490.0,0.9225889882692306,0.005222290371028413,52
495.0,0.9241943086231885,0.006090954537811043,138
510.0,0.913868557586207,0.0050591423906072,29
515.0,0.9113605024096386,0.006262767792907241,166
530.0,0.9039010864583332,0.006453014549042255,96
535.0,0.9016472671111111,0.0059077986935140055,45
545.0,0.8942415766666666,0.0015138890654646294,3
550.0,0.8970193664122137,0.006032356194769305,131
555.0,0.8929813197826085,0.005644106078033771,46
560.0,0.8987114616666667,0.002975314893999735,6
570.0,0.885029794659091,0.006167722865822751,88
575.0,0.8877998292857142,0.005652172669452556,98
