temperature,mean_density,std_density,n_points
165.0,1.0237054,0.0,1
180.0,1.0138942,0.0,1
195.0,1.016438247826087,0.0035242645685266524,23
200.0,1.0168320724358972,0.00304833671310456,156
205.0,1.0179357909090911,0.0031553341510330455,22
210.0,1.014257835,0.0032789068250125637,80
215.0,1.0142110245762712,0.0031849265669307444,118
220.0,1.0138723,0.0,1
225.0,1.011445,0.0,1
230.0,1.0084319346153845,0.003368864138218283,78
235.0,1.0089914173913044,0.0033716795233668683,115
240.0,1.0066676833333332,0.002247376136223443,6
245.0,1.0044933066666666,0.0046932079538555835,3
250.0,1.0049775323076924,0.003327446964057486,78
255.0,1.0039879760360357,0.0034242139632057506,111
260.0,1.0053577742857143,0.004496381279202403,7
265.0,0.99405402,0.0001548988114867595,2
270.0,0.998919399247312,0.0038225455005681057,93
275.0,0.9983294805434784,0.003741667508655795,92
280.0,0.9987709815384616,0.004250540572697489,13
285.0,0.9910031083333334,0.0032856158643603923,6
290.0,0.9924066096153848,0.004141771388150227,78
295.0,0.9921460146601941,0.004086939598096337,103
300.0,0.9920908507692309,0.004162383957232227,13
305.0,0.9871213388888889,0.004982999451175089,9
310.0,0.9863339035955054,0.005108929608966817,89
315.0,0.986238162235294,0.005047900016000383,85
320.0,0.9864851388235294,0.003791360673041555,17
325.0,0.979687982307692,0.005191341144659611,13
330.0,0.9797852175999999,0.004249335347597327,75
335.0,0.9798434821348314,0.004339681513268901,89
340.0,0.9824545941666666,0.0048717423384192935,24
345.0,0.9726331574999999,0.004202042270299545,12
350.0,0.9729085025333334,0.004610049449629869,75
355.0,0.9732314247311828,0.004445957046584104,93
360.0,0.9729083815000001,0.003593106599656852,20
365.0,0.9664537966666668,0.004839007591697851,15
370.0,0.9661567865333335,0.0052830275410589884,75
375.0,0.9664954890804597,0.005092556422694504,87
380.0,0.9657346483333334,0.005690177847237156,24
385.0,0.9592163779999999,0.004682270635374303,15
390.0,0.9585776082432433,0.00491509827470177,74
395.0,0.9593035463529412,0.0053161126640348414,85
400.0,0.9577653285185187,0.006152365324790945,27
405.0,0.954214893,0.007830811353578075,20
410.0,0.9504263834722223,0.006380397531480431,72
415.0,0.9506957102597404,0.005944959729590043,77
420.0,0.9481588446666667,0.005886077374434165,30
425.0,0.941933839090909,0.007069321004017079,22
430.0,0.9410941266216216,0.0053958438598471405,74
435.0,0.940712850263158,0.0053811765824909675,76
440.0,0.9399584299999999,0.004713038841269874,28
445.0,0.934033656818182,0.006472725783477853,22
450.0,0.9321723496875001,0.006555620228487085,64
455.0,0.9314455606493508,0.005956388454408545,77
460.0,0.9306866557142858,0.004722576655255101,35
465.0,0.925930413076923,0.007518067122852141,26
470.0,0.9272057570967743,0.007206630615597478,62
475.0,0.9259854463095238,0.006236106246766756,84
480.0,0.9258016581481483,0.007939008281196584,27
485.0,0.9244991531034483,0.006428370668405418,29
490.0,0.924874407260274,0.005824143860650786,73
495.0,0.9251646539682541,0.006381933593266213,63
500.0,0.9247446697058824,0.00506339378867842,34
505.0,0.9177430596428572,0.00967218548241238,28
510.0,0.9113130602666665,0.007736728248249517,75
515.0,0.9096423456140351,0.0072917317776753695,57
520.0,0.9107959179411765,0.006356509420233222,34
525.0,0.9099047838235294,0.008788643052158556,34
530.0,0.9036470223076922,0.0062916685868026,65
535.0,0.9020306398507463,0.006117852720129951,67
540.0,0.9032982949999999,0.005327857196451724,38
545.0,0.9004004502777777,0.006740147366374752,36
550.0,0.8971048944117646,0.006609880112278407,68
555.0,0.8979642739344263,0.007695660577266967,61
560.0,0.8978231847222222,0.006547178866508409,36
565.0,0.8893540669696969,0.009634011775495726,33
570.0,0.8828491622857143,0.0071187875116001,70
575.0,0.8837253342857143,0.007448350407205947,63
580.0,0.8855605103846155,0.006047254009003077,26
585.0,0.8828485525,0.005544144785147518,8
590.0,0.87765926,0.0,1
680.0,0.89675057,0.0,1
