LAMMPS (22 Jul 2025 - Update 3)
KOKKOS mode with Kokkos version 4.6.2 is enabled
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (4.4251115 4.4251115 4.4251115) to (47.096946 47.096946 47.096946)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  8000 atoms
  reading velocities ...
  8000 velocities
  scanning bonds ...
  4 = max bonds/atom
  scanning angles ...
  10 = max angles/atom
  scanning dihedrals ...
  16 = max dihedrals/atom
  scanning impropers ...
  7 = max impropers/atom
  orthogonal box = (4.4251115 4.4251115 4.4251115) to (47.096946 47.096946 47.096946)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  7990 bonds
  reading angles ...
  14820 angles
  reading dihedrals ...
  17070 dihedrals
  reading impropers ...
  9120 impropers
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        1       
     4 = max # of 1-2 neighbors
     6 = max # of 1-3 neighbors
     8 = max # of special neighbors
  special bonds CPU = 0.003 seconds
  read_data CPU = 0.194 seconds
PPPM Kokkos initialization ...
  using 12-bit tables for long-range coulomb
  G vector (1/distance) = 0.29950139
  grid = 30 30 30
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00036639003
  estimated relative force accuracy = 1.1033727e-06
  using double precision cuFFT
  3d grid and FFT values/proc = 50653 27000
Generated 10 of 10 mixed pair_coeff terms from sixthpower/sixthpower mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 4000, page size: 100000
  master list distance cutoff = 11.5
  ghost atom cutoff = 11.5
  binsize = 11.5, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/class2/coul/long/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 35 | 35 | 35 Mbytes
   Step          Time           Temp          Press         Enthalpy        TotEng         KinEng         PotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         E_coul         E_long         E_tail         Volume           Lx             Ly             Lz          Density          Pxx            Pyy            Pzz      
     14000   14000          299.59459      1956.5993      7561.2771      5315.2819      7143.3835     -1828.1016      2762.3567      5821.4517     -9541.5857     -62.167937     -3339.5396      7964.5993     -5433.2162     -529.97708      78710.207      42.855874      42.855874      42.855874      1.0599329      1515.9206      1430.7757      2923.1014    
     15000   15000          298.24762      148.10551      5411.4656      5241.044       7111.2671     -1870.2232      2704.7945      5902.7873     -9547.173      -64.331323     -3382.0659      7947.2462     -5431.481      -528.70131      78900.137      42.890317      42.890317      42.890317      1.0573814      23.474117      314.32134      106.52108    
     16000   16000          294.51709      431.40899      5673.1767      5175.8162      7022.3181     -1846.5019      2750.084       5983.3237     -9617.2383     -63.811972     -3414.57        7948.9409     -5433.2302     -527.69367      79050.798      42.917599      42.917599      42.917599      1.0553661      809.59111     -665.21091      1149.8468    
     17000   17000          302.31817     -66.48199       5323.1582      5399.6402      7208.3232     -1808.6831      2743.0977      5895.7381     -9552.0696     -61.575253     -3349.5513      7952.7111     -5437.034      -528.82109      78882.266      42.887078      42.887078      42.887078      1.0576209      845.99002     -2137.6855      1092.2495    
     18000   18000          301.53786      95.148205      5315.3815      5205.6557      7189.718      -1984.0622      2685.18        5904.5883     -9620.4852     -64.233989     -3407.3316      7952.4617     -5434.2415     -527.54044      79073.759      42.921754      42.921754      42.921754      1.0550597      498.08204     -1068.0224      855.385      
     19000   19000          302.02729      951.99534      6350.0937      5251.346       7201.3874     -1950.0414      2738.2721      5816.2232     -9584.429      -61.900816     -3374.7589      7953.6724     -5437.1204     -527.10955      79138.399      42.933446      42.933446      42.933446      1.0541979      321.7842       959.58065      1574.6212    
     20000   20000          298.00007      357.95582      5548.6756      5137.8613      7105.3645     -1967.5032      2697.1924      5866.1785     -9599.6947     -65.132484     -3365.1734      7938.2071     -5439.0805     -530.08794      78693.747      42.852886      42.852886      42.852886      1.0601546     -104.33882      836.34194      341.86433    
     21000   21000          300.97232      17.847046      5200.8426      5180.1697      7176.2334     -1996.0637      2702.0767      5729.2734     -9499.9392     -62.881045     -3357.2412      7927.5132     -5434.8656     -525.2047       79425.423      42.985289      42.985289      42.985289      1.0503883      181.37704     -588.27151      460.4356     
     22000   22000          300.45278      1099.2109      6507.5028      5242.422       7163.8456     -1921.4236      2736.6836      5914.2386     -9649.9861     -64.270213     -3370.796       7947.2088     -5434.5023     -528.59955      78915.326      42.893069      42.893069      42.893069      1.0571779      23.658636      2031.7582      1242.2159    
     23000   23000          303.92664      1406.4431      6842.7567      5233.3541      7246.6748     -2013.3206      2619.4715      5886.7777     -9558.2667     -64.852571     -3393.0682      7937.2707     -5440.653      -531.64472      78463.313      42.811017      42.811017      42.811017      1.0632681      3701.258       362.25278      155.81857    
     24000   24000          300.17963     -216.3439       4930.4112      5179.3133      7157.3328     -1978.0195      2698.7017      5852.3336     -9523.1027     -60.575755     -3435.5208      7930.6655     -5440.521      -528.78624      78887.464      42.88802       42.88802       42.88802       1.0575512      85.965588     -965.98112      230.98382    
     25000   25000          303.72997      2259.8867      7827.0322      5216.9505      7241.9855     -2025.035       2666.7102      5892.3428     -9631.5073     -62.622838     -3389.8147      7940.0586     -5440.2017     -526.74037      79193.866      42.943475      42.943475      42.943475      1.0534596      3116.1218      1717.0296      1946.5088    
     26000   26000          298.47254     -417.97415      4691.3734      5174.1658      7116.6298     -1942.464       2735.7237      5773.0917     -9554.5786     -66.300328     -3334.3051      7944.0373     -5440.1327     -526.68751      79201.813      42.944911      42.944911      42.944911      1.0533539      349.57556     -770.62043     -832.87758    
     27000   27000          303.38441      910.5671       6443.9945      5391.8461      7233.746      -1841.9         2660.3832      5960.1978     -9564.284      -63.317998     -3344.7745      7944.8238     -5434.9282     -526.50071      79229.913      42.949989      42.949989      42.949989      1.0529803      1964.6074     -429.76444      1196.8583    
     28000   28000          301.40544      818.75978      6231.2104      5277.0972      7186.5604     -1909.4632      2685.7488      5872.8259     -9599.2799     -62.375402     -3295.6733      7930.1377     -5440.8471     -522.06026      79903.814      43.071418      43.071418      43.071418      1.0440995      2258.1996     -1093.4962      1291.5759    
     29000   29000          299.39552     -659.68896      4329.4897      5091.9318      7138.6371     -2046.7053      2645.1634      5826.0004     -9598.8793     -61.402051     -3392.892       7969.6407     -5434.3366     -526.37638      79248.628      42.953371      42.953371      42.953371      1.0527316     -1198.1284     -1105.8654      324.92691    
     30000   30000          297.67032     -234.66892      5047.786       5319.1367      7097.5022     -1778.3655      2682.3718      6002.9143     -9556.8858     -66.003244     -3361.3826      7959.754      -5439.134      -526.12473      79286.533      42.960218      42.960218      42.960218      1.0522283      516.96396     -411.60149     -809.36921    
     31000   31000          302.14331      927.85426      6412.5029      5336.8951      7204.1538     -1867.2587      2668.8754      5978.156      -9588.3972     -61.694976     -3377.1566      7953.651      -5440.6924     -524.7952       79487.399      42.996466      42.996466      42.996466      1.0495693      1423.0759      576.61627      783.87061    
