LAMMPS (22 Jul 2025 - Update 3)
KOKKOS mode with Kokkos version 4.6.2 is enabled
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (4.3055864 4.3055864 4.3055864) to (47.216471 47.216471 47.216471)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  8000 atoms
  reading velocities ...
  8000 velocities
  scanning bonds ...
  4 = max bonds/atom
  scanning angles ...
  10 = max angles/atom
  scanning dihedrals ...
  16 = max dihedrals/atom
  scanning impropers ...
  7 = max impropers/atom
  orthogonal box = (4.3055864 4.3055864 4.3055864) to (47.216471 47.216471 47.216471)
  1 by 1 by 1 MPI processor grid
  reading bonds ...
  7990 bonds
  reading angles ...
  14820 angles
  reading dihedrals ...
  17070 dihedrals
  reading impropers ...
  9120 impropers
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        1       
  special bond factors coul:  0        0        1       
     4 = max # of 1-2 neighbors
     6 = max # of 1-3 neighbors
     8 = max # of special neighbors
  special bonds CPU = 0.004 seconds
  read_data CPU = 0.206 seconds
PPPM Kokkos initialization ...
  using 12-bit tables for long-range coulomb
  G vector (1/distance) = 0.29907967
  grid = 30 30 30
  stencil order = 5
  estimated absolute RMS force accuracy = 0.00037233462
  estimated relative force accuracy = 1.1212747e-06
  using double precision cuFFT
  3d grid and FFT values/proc = 50653 27000
Generated 10 of 10 mixed pair_coeff terms from sixthpower/sixthpower mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 4000, page size: 100000
  master list distance cutoff = 11.5
  ghost atom cutoff = 11.5
  binsize = 11.5, bins = 4 4 4
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/class2/coul/long/kk, perpetual
      attributes: full, newton off, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : real
  Current step  : 0
  Time step     : 1
Per MPI rank memory allocation (min/avg/max) = 35 | 35 | 35 Mbytes
   Step          Time           Temp          Press         Enthalpy        TotEng         KinEng         PotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         E_coul         E_long         E_tail         Volume           Lx             Ly             Lz          Density          Pxx            Pyy            Pzz      
     15000   15000          308.66651      775.3804       6155.6743      5262.1773      7359.6898     -2097.5125      2720.1215      5906.0483     -9766.2455     -62.228105     -3347.532       7899.8561     -5447.5328     -527.94143      79013.7        42.910884      42.910884      42.910884      1.0558617      1841.7112      224.44124      259.98877    
     16000   16000          308.9385       983.95913      6542.6836      5408.8343      7366.1751     -1957.3408      2738.1496      5833.8067     -9613.4502     -63.140865     -3307.1752      7902.0093     -5447.5401     -527.94143      79013.7        42.910884      42.910884      42.910884      1.0558617      471.46256      1454.8906      1025.5242    
     17000   17000          303.27865     -91.923691      5093.484       5199.4107      7231.2244     -2031.8136      2716.2963      5803.9811     -9663.2174     -61.270554     -3292.2711      7909.0049     -5444.337      -527.94143      79013.7        42.910884      42.910884      42.910884      1.0558617     -1134.2088      1252.7247     -394.28693    
     18000   18000          309.45747      157.00108      5651.7766      5470.8589      7378.5491     -1907.6902      2787.5039      5867.9342     -9620.0465     -59.867286     -3346.0942      7907.8351     -5444.9554     -527.94143      79013.7        42.910884      42.910884      42.910884      1.0558617     -568.63997      287.7865       751.85672    
     19000   19000          307.86796      805.77718      6280.1342      5351.61        7340.6497     -1989.0397      2711.9091      5955.0217     -9725.4918     -62.02847      -3355.0506      7930.5833     -5443.983      -527.94143      79013.7        42.910884      42.910884      42.910884      1.0558617      730.69864      1485.6602      200.9727     
     20000   20000          307.07855      104.16649      5366.515       5246.4804      7321.8274     -2075.347       2718.2692      5782.1804     -9627.8694     -59.803843     -3362.3866      7917.4603     -5443.1971     -527.94143      79013.7        42.910884      42.910884      42.910884      1.0558617     -1264.4825      823.61385      753.36814    
     21000   21000          307.14309      889.00647      6364.3935      5339.9613      7323.3662     -1983.4048      2708.1174      5869.4766     -9668.0347     -60.896251     -3316.1573      7924.2286     -5440.1391     -527.94143      79013.7        42.910884      42.910884      42.910884      1.0558617      976.90949      408.26658      1281.8433    
     22000   22000          311.76359     -264.13994      5174.0981      5478.4755      7433.5351     -1955.0596      2749.6927      5933.5232     -9723.6025     -62.955824     -3324.1181      7915.1068     -5442.7059     -527.94143      79013.7        42.910884      42.910884      42.910884      1.0558617     -637.10637      788.0426      -943.35604    
     23000   23000          304.49651     -273.0245       4988.9724      5303.5878      7260.2624     -1956.6747      2735.1041      5824.0969     -9623.312      -64.816758     -3304.7198      7920.2693     -5443.2964     -527.94143      79013.7        42.910884      42.910884      42.910884      1.0558617     -403.97337     -197.42225     -217.67789    
     24000   24000          312.04824      468.98656      6119.0008      5578.5718      7440.3222     -1861.7504      2818.2681      5926.5754     -9676.3167     -64.453055     -3337.9136      7919.8244     -5447.7349     -527.94143      79013.7        42.910884      42.910884      42.910884      1.0558617      364.80713      760.52654      281.626      
