   1.8866951429   -2.2234045164    0.2269329456
   2.1135573373   -2.1972143827    0.2269329456
   2.3337628977   -2.1367008347    0.2269329456
   2.5421503925   -2.0432822586    0.2269329456
   2.7338353955   -1.9191483068    0.2269329456
   2.9043249725   -1.7672085737    0.2269329456
   3.0496229924   -1.5910243980    0.2269329456
   3.1663237928   -1.3947253875    0.2269329456
   1.3835788063   -2.2517277417    0.0166214307
   1.6042768246   -2.2997376569    0.0166214307
   1.8295609787   -2.3158502976    0.0166214307
   2.0548451327   -2.2997376569    0.0166214307
   2.2755431511   -2.2517277417    0.0166214307
   2.4871622585   -2.1727978954    0.0166214307
   2.6853945002   -2.0645549021    0.0166214307
   2.8662044394   -1.9292022770    0.0166214307
   3.0259113073   -1.7694954092    0.0166214307
   3.1612639324   -1.5886854700    0.0166214307
   3.2695069257   -1.3904532282    0.0166214307
   3.3484367719   -1.1788341208    0.0166214307
   3.3964466871   -0.9581361025    0.0166214307
   3.4744222460   -0.7328519485   -0.2041702158
   3.4591019194   -0.5088767015   -0.2041702158
   1.0728178177   -2.1932999540   -0.2041702158
   1.2787304754   -2.2827404429   -0.2041702158
   1.4949040632   -2.3433094417   -0.2041702158
   1.7173116761   -2.3738786645   -0.2041702158
   1.9418102812   -2.3738786645   -0.2041702158
   2.1642178941   -2.3433094417   -0.2041702158
   2.3803914819   -2.2827404429   -0.2041702158
   2.5863041397   -2.1932999540   -0.2041702158
   2.7781201041   -2.0766540820   -0.2041702158
   2.9522662068   -1.9349757188   -0.2041702158
   3.1054984354   -1.7709040643   -0.2041702158
   3.2349623633   -1.5874954630   -0.2041702158
   3.3382463225   -1.3881664700   -0.2041702158
   3.4134263283   -1.1766302074   -0.2041702158
   3.4591019194   -0.9568271954   -0.2041702158
   3.5056445109   -0.7328519485   -0.4313290633
   3.4900333785   -0.5046252703   -0.4313290633
   3.4434907869   -0.2806500233   -0.4313290633
   1.0584535452   -2.2210217415   -0.4313290633
