r_A,g_r
0.5483,0.00000
0.6450,0.00000
0.7417,0.00000
0.8383,0.00000
0.9350,0.00000
1.0317,0.00000
1.1283,0.00000
1.2250,0.00000
1.3217,0.00000
1.4183,0.08860
1.5150,8.37174
1.6117,5.86066
1.7083,0.34206
1.8050,0.01094
1.9017,0.00000
1.9983,0.00000
2.0950,0.00000
2.1917,0.00000
2.2883,0.04086
2.3850,1.57966
2.4817,1.63270
2.5783,1.05130
2.6750,1.11124
2.7717,0.13461
2.8683,0.11702
2.9650,0.36505
3.0617,0.51735
3.1583,0.59699
3.2550,0.34329
3.3517,0.21268
3.4483,0.22491
3.5450,0.36037
3.6417,0.66147
3.7383,1.08955
3.8350,1.15655
3.9317,0.77972
4.0283,0.79330
4.1250,1.01432
4.2217,1.15649
4.3183,1.19134
4.4150,1.05559
4.5117,1.08793
4.6083,1.24595
4.7050,1.24038
4.8017,1.27756
4.8983,1.22763
4.9950,1.23489
5.0917,1.13343
5.1883,1.16975
5.2850,1.08649
5.3817,1.09829
5.4783,1.09909
5.5750,1.01885
5.6717,1.08308
5.7683,1.04923
5.8650,1.02115
5.9617,1.07961
6.0583,1.01046
6.1550,0.99685
6.2517,1.05386
6.3483,0.99988
6.4450,1.01304
6.5417,0.97916
6.6383,1.01640
6.7350,0.99529
6.8317,1.00477
6.9283,0.96132
7.0250,0.95456
7.1217,0.93234
7.2183,0.91917
7.3150,0.94169
7.4117,0.93741
7.5083,0.93746
7.6050,0.94893
7.7017,0.97275
7.7983,0.93647
7.8950,0.96746
7.9917,0.95034
8.0883,0.98500
8.1850,0.97943
8.2817,1.01390
8.3783,1.00029
8.4750,0.95873
8.5717,1.00712
8.6683,1.03367
8.7650,1.00450
8.8617,0.99905
8.9583,1.00071
9.0550,1.04774
9.1517,1.02062
9.2483,0.99564
9.3450,1.01068
9.4417,0.98409
9.5383,1.00344
9.6350,0.97534
9.7317,1.04003
9.8283,1.02484
9.9250,1.03031
10.0217,1.02509
10.1183,1.03555
10.2150,1.06116
10.3117,1.06081
10.4083,1.02276
10.5050,0.98205
10.6017,1.00167
10.6983,0.96931
10.7950,1.01140
10.8917,0.97729
10.9883,0.99798
11.0850,1.00648
11.1817,1.01111
11.2783,1.01012
11.3750,0.97042
11.4717,0.96525
11.5683,1.00221
11.6650,0.99799
11.7617,1.00459
11.8583,0.94999
11.9550,0.97286
12.0517,1.01354
12.1483,0.98612
12.2450,0.98988
12.3417,1.01330
12.4383,1.00153
12.5350,0.98432
12.6317,1.01066
12.7283,0.96984
12.8250,1.00492
12.9217,0.98653
13.0183,1.00097
13.1150,0.98502
13.2117,0.99395
13.3083,0.98842
13.4050,1.02086
13.5017,1.01627
13.5983,0.98548
13.6950,1.00603
13.7917,1.00998
13.8883,1.01612
13.9850,1.01197
14.0817,1.00603
14.1783,1.00123
14.2750,0.99122
14.3717,1.01436
14.4683,1.01925
14.5650,1.01921
14.6617,1.01975
14.7583,0.99154
14.8550,1.00970
14.9517,1.00132
