r_A,g_r
0.5483,0.00000
0.6450,0.00000
0.7417,0.00000
0.8383,0.00000
0.9350,0.00000
1.0317,0.00000
1.1283,0.00000
1.2250,0.05885
1.3217,5.60887
1.4183,0.48552
1.5150,9.99830
1.6117,2.94441
1.7083,0.00000
1.8050,0.00000
1.9017,0.00000
1.9983,0.00000
2.0950,0.00000
2.1917,0.00000
2.2883,0.02282
2.3850,0.75916
2.4817,2.70685
2.5783,2.25522
2.6750,0.77562
2.7717,0.24082
2.8683,0.27097
2.9650,0.22404
3.0617,0.14691
3.1583,0.10628
3.2550,0.12704
3.3517,0.19661
3.4483,0.35706
3.5450,0.55248
3.6417,0.71360
3.7383,0.72552
3.8350,0.87563
3.9317,1.09903
4.0283,0.90056
4.1250,0.86802
4.2217,0.89929
4.3183,0.98266
4.4150,1.05022
4.5117,1.05957
4.6083,1.11567
4.7050,1.22713
4.8017,1.31797
4.8983,1.38430
4.9950,1.35582
5.0917,1.28538
5.1883,1.23098
5.2850,1.19809
5.3817,1.15992
5.4783,1.15190
5.5750,1.13237
5.6717,1.12593
5.7683,1.11834
5.8650,1.10837
5.9617,1.08398
6.0583,1.09412
6.1550,1.07224
6.2517,1.06540
6.3483,1.04971
6.4450,0.98968
6.5417,0.97364
6.6383,0.96070
6.7350,0.94513
6.8317,0.93060
6.9283,0.93577
7.0250,0.92873
7.1217,0.91650
7.2183,0.91346
7.3150,0.91425
7.4117,0.91515
7.5083,0.91258
7.6050,0.89429
7.7017,0.90457
7.7983,0.88348
7.8950,0.89383
7.9917,0.92369
8.0883,0.93582
8.1850,0.96831
8.2817,0.95614
8.3783,0.98759
8.4750,0.97416
8.5717,0.99362
8.6683,1.00167
8.7650,1.00263
8.8617,1.01681
8.9583,1.00742
9.0550,1.03299
9.1517,1.03332
9.2483,1.04458
9.3450,1.05022
9.4417,1.05914
9.5383,1.05332
9.6350,1.04797
9.7317,1.04124
9.8283,1.04744
9.9250,1.04861
10.0217,1.03226
10.1183,1.03440
10.2150,1.03449
10.3117,1.02584
10.4083,1.02909
10.5050,1.02140
10.6017,1.01867
10.6983,1.01383
10.7950,1.00325
10.8917,1.00064
10.9883,0.99856
11.0850,1.00135
11.1817,0.99214
11.2783,0.97933
11.3750,0.98296
11.4717,0.98463
11.5683,0.98191
11.6650,0.96723
11.7617,0.98499
11.8583,0.97421
11.9550,0.97455
12.0517,0.97501
12.1483,0.97167
12.2450,0.96856
12.3417,0.97903
12.4383,0.98027
12.5350,0.98826
12.6317,0.97935
12.7283,0.98400
12.8250,0.99630
12.9217,1.01018
13.0183,0.99288
13.1150,0.99413
13.2117,0.99175
13.3083,1.00656
13.4050,1.01512
13.5017,1.01161
13.5983,1.01451
13.6950,1.00695
13.7917,1.00733
13.8883,1.00567
13.9850,1.00104
14.0817,1.01169
14.1783,1.02261
14.2750,1.00202
14.3717,1.01727
14.4683,1.01763
14.5650,1.01485
14.6617,1.01519
14.7583,1.02029
14.8550,1.00505
14.9517,1.00730
