r_A,g_r
0.5483,0.00000
0.6450,0.00000
0.7417,0.00000
0.8383,0.00000
0.9350,0.00000
1.0317,0.00000
1.1283,0.00000
1.2250,0.00000
1.3217,0.00000
1.4183,0.39290
1.5150,14.45168
1.6117,4.23874
1.7083,0.00322
1.8050,0.00000
1.9017,0.00000
1.9983,0.00000
2.0950,0.00000
2.1917,0.00000
2.2883,0.00539
2.3850,0.16546
2.4817,1.77581
2.5783,3.37811
2.6750,1.34954
2.7717,0.13967
2.8683,0.05262
2.9650,0.16060
3.0617,0.25103
3.1583,0.26892
3.2550,0.20877
3.3517,0.12149
3.4483,0.10132
3.5450,0.11534
3.6417,0.20441
3.7383,0.34484
3.8350,0.87744
3.9317,1.47114
4.0283,1.07888
4.1250,0.72466
4.2217,0.72566
4.3183,0.94894
4.4150,1.08120
4.5117,1.15514
4.6083,1.26941
4.7050,1.21863
4.8017,1.18476
4.8983,1.22320
4.9950,1.33137
5.0917,1.47954
5.1883,1.43646
5.2850,1.30857
5.3817,1.27173
5.4783,1.21031
5.5750,1.16992
5.6717,1.16930
5.7683,1.14062
5.8650,1.13070
5.9617,1.09486
6.0583,1.06481
6.1550,1.04927
6.2517,1.03706
6.3483,1.03959
6.4450,1.08478
6.5417,1.00522
6.6383,0.97424
6.7350,0.93817
6.8317,0.96163
6.9283,0.94714
7.0250,0.92106
7.1217,0.89586
7.2183,0.86191
7.3150,0.85775
7.4117,0.85968
7.5083,0.85138
7.6050,0.89888
7.7017,0.89169
7.7983,0.90362
7.8950,0.88676
7.9917,0.90229
8.0883,0.89236
8.1850,0.90639
8.2817,0.92722
8.3783,0.93236
8.4750,0.95381
8.5717,0.94997
8.6683,0.99291
8.7650,0.99551
8.8617,1.06633
8.9583,1.05505
9.0550,1.06927
9.1517,1.06456
9.2483,1.06223
9.3450,1.06430
9.4417,1.05930
9.5383,1.06122
9.6350,1.05240
9.7317,1.06032
9.8283,1.05798
9.9250,1.05181
10.0217,1.06020
10.1183,1.06854
10.2150,1.05031
10.3117,1.04965
10.4083,1.02529
10.5050,1.03287
10.6017,1.02459
10.6983,1.00945
10.7950,1.00712
10.8917,0.99591
10.9883,0.99881
11.0850,0.98813
11.1817,0.98444
11.2783,0.97030
11.3750,0.98437
11.4717,0.97829
11.5683,0.97340
11.6650,0.97089
11.7617,0.96636
11.8583,0.95201
11.9550,0.96474
12.0517,0.96643
12.1483,0.95953
12.2450,0.96560
12.3417,0.97686
12.4383,0.97202
12.5350,0.97362
12.6317,0.96567
12.7283,0.98313
12.8250,0.99384
12.9217,0.98725
13.0183,0.99181
13.1150,1.00176
13.2117,1.00333
13.3083,1.00332
13.4050,1.01080
13.5017,1.01414
13.5983,1.01443
13.6950,1.02982
13.7917,1.02519
13.8883,1.00843
13.9850,1.02885
14.0817,1.01435
14.1783,1.03409
14.2750,1.01408
14.3717,1.02058
14.4683,1.00816
14.5650,1.01585
14.6617,1.01708
14.7583,1.01011
14.8550,1.00797
14.9517,1.00559
