ff_class,label,n_replicates,wall_h_min,wall_h_max,core_h_min,core_h_max,core_h_mean,ns_per_day_min,ns_per_day_max
UA,"United-atom (TraPPE-UA, lj/cut)",8,4.6,33.5,4.6,213.0,71.3,9.9,118.8
AA,"All-atom (PCFF, lj/class2 + PPPM)",28,11.8,82.1,11.8,380.1,69.3,8.2,51.6
