r,g_r
0.05,9570.233421807663
0.15000000000000002,0.0
0.25,0.0
0.35000000000000003,0.0
0.45,0.0
0.55,0.0
0.6500000000000001,0.0
0.75,0.0
0.8500000000000001,0.0
0.95,0.0
1.05,0.0
1.1500000000000001,0.0
1.25,0.0
1.35,0.0
1.4500000000000002,0.20197335601718663
1.55,11.551410126793169
1.6500000000000001,7.133980004227142
1.75,0.025054856457182938
1.85,0.0
1.9500000000000002,0.0
2.05,0.0
2.1500000000000004,0.0
2.25,0.0003118985725955606
2.3500000000000005,0.06990810278721442
2.45,1.0663727858005694
2.55,3.2144990605095773
2.6500000000000004,2.465670644923142
2.75,1.003841143406885
2.8500000000000005,1.1630887573312547
2.95,0.15256573030810083
3.05,0.14021399772275667
3.1500000000000004,0.6538143916364134
3.25,1.0854491177791705
3.3500000000000005,0.9241054112039642
3.45,0.7792393757696803
3.55,0.7341177820884578
3.6500000000000004,0.6056886199562417
3.75,0.87481418835945
3.8500000000000005,1.0601477440244043
3.95,0.8336032593176604
4.050000000000001,1.3447727904099294
4.15,1.2685441438529834
4.25,0.9629265006737183
4.35,0.8356263874311087
4.45,0.7505181962787447
4.550000000000001,0.8028450542436306
4.65,1.0590129128240937
4.75,1.2158121161229734
4.8500000000000005,1.1451606690112117
4.95,1.1708809377363953
5.050000000000001,1.154371145746415
5.15,0.9057614433721302
5.25,0.7459203580064085
5.3500000000000005,0.7261922079878579
5.45,0.7967121947719988
5.550000000000001,0.8858511262338479
5.65,0.8797146365173671
5.75,0.8878472851278617
5.8500000000000005,0.9204005757239611
5.95,0.9433637005851184
6.050000000000001,0.9335214629243009
6.15,0.8917112654172127
6.25,0.8786547705225444
6.3500000000000005,0.8889889826007437
6.45,0.9064489903836916
6.550000000000001,0.9237395363702189
6.65,0.9229896112742647
6.75,0.9089707630944387
6.8500000000000005,0.9073156153361046
6.95,0.9382626660694064
7.050000000000001,0.9815708751570164
7.15,1.0156437920319572
7.25,1.0162990137815555
7.3500000000000005,0.9858192790742096
7.45,0.968890595286513
7.550000000000001,0.9677499541276483
7.65,0.9715158538739895
7.75,0.968561245324135
7.8500000000000005,0.9745642793442435
7.95,0.9874966933600997
8.05,1.0028917552718595
8.15,1.0134297105339107
8.25,1.0195014528405875
8.350000000000001,1.0215641399829847
8.45,1.0277826654822786
8.55,1.029967374944662
8.65,1.034619943472901
8.75,1.0372635549661515
8.850000000000001,1.0329166957252687
8.95,1.027399994370449
9.05,1.0288034382424456
9.15,1.0303323932169905
9.25,1.0358445292591016
9.350000000000001,1.03630708929607
9.45,1.0400090259608035
9.55,1.042411738594326
9.650000000000002,1.0398504284539405
9.75,1.035003085903183
9.850000000000001,1.027881249427435
9.95,1.0230667997828602
10.05,1.0230849495090268
10.150000000000002,1.0279638872965486
10.25,1.029090070629304
10.350000000000001,1.0288443861442058
10.45,1.0273422050898944
10.55,1.024236214413436
10.650000000000002,1.0238011422576982
10.75,1.0221841006957844
10.850000000000001,1.0177118014605029
10.95,1.0159606559729224
11.05,1.0101145801227935
11.150000000000002,1.0097950790818377
11.25,1.0059744499218959
11.350000000000001,1.001040050553103
11.45,1.0004844001339637
11.55,0.9987631795301065
11.650000000000002,0.9975060720593499
11.75,0.9984368962371576
11.850000000000001,0.9961792219561092
11.95,0.9929954803146
12.05,0.9940138392738714
12.150000000000002,0.9924968537485188
12.25,0.9909419733716442
12.350000000000001,0.9905319993138502
12.45,0.9925880222556126
12.55,0.9923995185707053
12.650000000000002,0.9932268274589687
12.75,0.9951875523644433
12.850000000000001,0.9935470783191988
12.95,0.9941116360888239
13.05,0.9899567089813996
13.150000000000002,0.9935096976226944
13.25,0.9950826746307717
13.350000000000001,0.9938893996027794
13.45,0.9948650212353211
13.55,0.9959040964937367
13.650000000000002,0.9941683643650779
13.75,0.9943405465685894
13.850000000000001,0.991944976893895
13.95,0.9929589419340625
14.05,0.9935740398049769
14.150000000000002,0.9917347934831695
14.25,0.9915787651051584
14.350000000000001,0.9915232443857157
14.45,0.9915020980641933
14.55,0.9939502720288478
14.650000000000002,0.9927126389381853
14.75,0.994506424568523
14.850000000000001,0.9949632119176255
14.95,0.9953675804482361
