step,strain_xx,sigma_xx_GPa,sigma_yy_GPa,sigma_zz_GPa,sigma_xx_avg_GPa,sigma_yy_avg_GPa,sigma_zz_avg_GPa
200000.0,0.0,-0.26621797140750003,-0.19394789489250003,-0.17473495236750003,0.00708382381098197,-0.0243417104922127,0.0027699306031525803
200000.0,0.0,-0.2662248615075,-0.19395597049500002,-0.17474217684,0.006996233282598121,-0.024082435820249954,0.0028868913777373426
200100.0,9.999999999999999e-06,-0.004946051090925001,0.05562873817200001,0.13222989507,0.007024505804804361,-0.024073007700675848,0.0027171214916492815
200200.0,1.9999999999999998e-05,-0.19473920261250002,-0.15528687504750002,-0.062367453555750005,0.0069020979835383535,-0.023960565936495714,0.002803985192254068
200300.0,2.9999999999999997e-05,-0.0957154473765,-0.1395640316175,0.08961977590650001,0.007070696202369491,-0.024025678836774603,0.002665435730419153
200400.0,3.9999999999999996e-05,-0.0382939821915,0.07204340337075,0.15792254094750002,0.006947035880976587,-0.023913763764726818,0.0025681139445182387
200500.0,4.9999999999999996e-05,-0.07380470544825,-0.09221626753500001,-0.18485328713250002,0.006930433305386947,-0.023973676981543193,0.00268716240792826
200600.0,5.9999999999999995e-05,-0.026957188970250002,0.0376648957965,0.07814582308575001,0.0073543895261239025,-0.023887894200551093,0.0027394026125350844
200700.0,7e-05,-0.101362267335,0.014914193936250002,0.046855496835,0.007290529627685288,-0.023751952721979115,0.0027504935835308336
200800.0,7.999999999999999e-05,-0.09079861324800001,-0.12450922391250002,-0.16527396354,0.007144826132147442,-0.02381183707054975,0.0027698139050362537
200900.0,8.999999999999999e-05,-0.02971690504125,-0.27685382361000005,-0.15200970030750002,0.007259411519702247,-0.023872407565421236,0.0029227656139495842
201000.0,9.999999999999999e-05,0.013218062072250002,0.08043252365925001,-0.07332957225825,0.007263170564821235,-0.023716586909142384,0.002871552256340089
201100.0,0.00010999999999999999,-0.055442906095500004,-0.26094921326250003,-0.14623677936,0.0072272861318233884,-0.023824802177922873,0.003068866402008231
201200.0,0.00011999999999999999,0.03847442884425001,-0.13315958234250003,-0.13708245064500002,0.0072115871825701085,-0.023783108255152962,0.0030791183278196742
201300.0,0.00013,-0.015418860324000003,-0.1875942702375,-0.10787733311250002,0.007222638501287002,-0.02373753658806504,0.00302676882001142
201400.0,0.00014,-0.025743565743000005,-0.01601912887575,-0.05104218098700001,0.007393491248837457,-0.02368214775184133,0.0031989949070582065
201500.0,0.00015,-0.008476923771225,0.12150594078000002,0.00958032880455,0.0075059837014001185,-0.023644422920881102,0.003122995441067746
201600.0,0.00015999999999999999,-0.008159541852525001,-0.018900356926500002,0.1509472266225,0.0073961601642109345,-0.02358013289772119,0.0031491030559081413
201700.0,0.00016999999999999999,-0.07472664845100001,-0.10523206160250001,0.005275935400050001,0.007437921135010333,-0.023525849239507318,0.002940718207147426
201800.0,0.00017999999999999998,-0.1620099509175,-0.08980981601025001,-0.13799683784250003,0.0073613588449423645,-0.023455145944204808,0.003032528259436781
201900.0,0.00018999999999999998,-0.12063326908500002,-0.00238513193415,0.1339187903025,0.00754262971068752,-0.023380217589569804,0.002942441712179735
202000.0,0.00019999999999999998,0.26321665398000005,-0.04933128505725,-0.033618868983000004,0.007372180421793603,-0.02327144040305578,0.0031127146291413613
202100.0,0.00020999999999999998,-0.1134737357775,0.08064232416450001,-0.062853555177,0.007254282541816311,-0.023236123143046183,0.0030250020237478767
202200.0,0.00021999999999999998,-0.031188990105,0.17798203358250003,0.0296439074715,0.007191776439675973,-0.023126832041316665,0.0030810903429138122
202300.0,0.00022999999999999998,-0.096629218518,-0.1409934233925,-0.071710045134,0.007371364314073261,-0.0232255222166645,0.0031262876556624316
202400.0,0.00023999999999999998,-0.10343858883750001,-0.02450744025975,-0.10170824154750001,0.007578598612008311,-0.023224439848920683,0.0031124537652493464
202500.0,0.00025,-0.131706105615,0.108726527805,-0.1331610616875,0.0075131470287609844,-0.023158448911766032,0.0031504201587685965
202600.0,0.00026,-0.07327577577600002,-0.079476618543,0.039994164015750004,0.007458622030012921,-0.023194175300653066,0.0030299697414548003
202700.0,0.00027,-0.16044309151500002,-0.050305196639250004,-0.012528635626500001,0.007386456953935087,-0.02312113383366386,0.0029454455701703112
202800.0,0.00028,-0.013597213129500001,-0.063706318536,0.14909424568500002,0.00732233657454375,-0.023080572726265257,0.0032720166076628575
202900.0,0.00029,0.06611637621750001,0.14775909629250003,0.10484698607250001,0.007367585799864339,-0.02325465028209898,0.003272123799361485
203000.0,0.0003,-0.30124188984750006,-0.05388889065000001,-0.045545367624750005,0.007413623361176788,-0.02331045647602226,0.003413387404245713
203100.0,0.00031,-0.03899965610100001,-0.013927390774500002,-0.15937059678750004,0.007492600059888101,-0.02339121340248687,0.003468239999869506
203200.0,0.00031999999999999997,-0.021823452467250003,0.09378381189450001,0.0829810956555,0.007515571600391838,-0.023371498179731148,0.003525883137385847
203300.0,0.00033,-0.03436724834025,-0.14621826728250004,-0.1667248463475,0.0074634055496184916,-0.023368791917027346,0.003603096876541422
