temperature,mean_density,std_density,n_points
80.0,0.9807488964000001,0.001096998947898609,25
100.0,0.9758108569230769,0.0012798627964739613,26
120.0,0.9715939576923076,0.0011509903218995634,26
140.0,0.9656718526923076,0.0013082384866026696,26
160.0,0.9596127703846153,0.0014097421622168483,26
180.0,0.9519857750000001,0.001955600380194784,26
200.0,0.9414743084615386,0.0022148535774298003,26
220.0,0.9343790857692308,0.0018117479651611054,26
240.0,0.9269333142307694,0.0024658975764215,26
260.0,0.9161043353846154,0.002580273892973741,26
280.0,0.9056132525490196,0.0031082260319280726,51
320.0,0.8850796165384615,0.002691756851274577,26
340.0,0.8748362503846153,0.0031802507157876556,26
360.0,0.8616663257692306,0.00294654483904816,26
400.0,0.8430984888461539,0.002730924783310339,26
