temperature,mean_density,std_density,n_points
95.0,1.27401718,0.0017527750175079326,5
100.0,1.2761236138075316,0.0024892670825642483,239
105.0,1.2746652,0.0015754412385106278,6
115.0,1.2703548428571427,0.0019482720770443104,7
120.0,1.2708677103004293,0.002823137771989676,233
125.0,1.27104406,0.0034325539336055575,10
135.0,1.2679191250000001,0.003462595455338865,16
140.0,1.2663718283783783,0.0031233228524576544,222
145.0,1.2672829583333332,0.003343133002672844,12
155.0,1.2629850772727274,0.0029270810680578708,22
160.0,1.2625417243654824,0.0033451911512930054,197
165.0,1.262026303125,0.002669246855899982,32
175.0,1.2571131111111111,0.003039747529791221,27
180.0,1.2582956188481675,0.0038713140851736544,191
185.0,1.257760375,0.00290168707645699,32
190.0,1.2530732,0.0,1
195.0,1.2528726375,0.0031667014650691282,32
200.0,1.2524507439306358,0.003777431682132074,173
205.0,1.2540475933333335,0.00368937405496575,45
210.0,1.2455995,0.0,1
215.0,1.24814236122449,0.0033713987203518483,49
220.0,1.248010047133758,0.0037610268011944083,157
225.0,1.247775946511628,0.004496946919450657,43
230.0,1.2492103,0.0,1
235.0,1.2427334159999999,0.004031354263786184,50
240.0,1.2424260862745098,0.003918325234900122,153
245.0,1.242766456521739,0.00452349712195,46
250.0,1.24196415,0.004046277133983751,2
255.0,1.238065712244898,0.004298449829814267,49
260.0,1.2373710795918367,0.004489184537703177,147
265.0,1.2385958392156864,0.003943145075752532,51
270.0,1.23545134,0.005262193080171026,5
275.0,1.232650842307692,0.004675115839996992,52
280.0,1.23278039,0.004326094017798799,140
285.0,1.232910832692308,0.004734082668567572,52
290.0,1.2305988285714287,0.00540572352626183,7
295.0,1.2279609849999997,0.004804300575308195,60
300.0,1.2283889969465647,0.0046951119501839125,131
305.0,1.2284754400000002,0.004995671696619795,50
310.0,1.2268043636363635,0.007449110305301255,11
315.0,1.2213029283333336,0.005342750018517624,60
320.0,1.2213238833333335,0.005468403431099977,120
325.0,1.2233289232142859,0.004841340599011075,56
330.0,1.21920838125,0.004909881039864912,16
335.0,1.2133628898305084,0.004983212150005638,59
340.0,1.2146288310924371,0.005112140012600576,119
345.0,1.2139017185185184,0.005210069840080698,54
350.0,1.2135146904761904,0.006367510118633867,21
355.0,1.2066529539682542,0.0046480125291258915,63
360.0,1.206225936607143,0.005806043312596535,112
365.0,1.2076480076923077,0.006312552059062239,52
370.0,1.2064624842105263,0.005527082654053277,19
375.0,1.2027778,0.0055270115388577285,61
380.0,1.201868407216495,0.006218199738423226,97
385.0,1.2022814126760566,0.005347679656687678,71
390.0,1.2032825964285716,0.006377046333384671,28
395.0,1.197044929230769,0.0059914838370474415,65
400.0,1.1966708428571429,0.00552727032456572,98
405.0,1.1953265524590166,0.0065350971052363736,61
410.0,1.193365582142857,0.005339935756240941,28
415.0,1.1908362508196726,0.006130112089394535,61
420.0,1.1907850387096772,0.006424215043304161,93
425.0,1.18950279375,0.006781608372740945,64
430.0,1.1906221363636362,0.007802846191567608,33
435.0,1.183352105084746,0.0077546922084904156,59
440.0,1.1827736279569894,0.006856780331514548,93
445.0,1.1822198363636363,0.006936438364410996,66
450.0,1.1831527606060606,0.008467882096226132,33
455.0,1.182262198181818,0.0067950720733781856,55
460.0,1.1804336651685392,0.006505270624464669,89
465.0,1.181076017647059,0.0056925716114620915,68
470.0,1.1798903945945947,0.007110758660490986,37
475.0,1.1761136,0.007166620391541024,63
480.0,1.1748387034482761,0.007172224198535465,87
485.0,1.174512405084746,0.0066393473054111585,59
490.0,1.17523715,0.006844240384627376,40
495.0,1.1627957823529411,0.007729483249587525,68
500.0,1.1610806571428571,0.007132025322264233,84
505.0,1.160182957142857,0.006080770573376112,63
510.0,1.1587707341463416,0.008874508402176705,41
515.0,1.1562081333333332,0.00820890304663417,60
520.0,1.1532402680000002,0.007874856690436227,75
525.0,1.1537871436619715,0.007602281358564713,71
530.0,1.1542703820000002,0.008173276264896624,50
535.0,1.1451915660714285,0.010137036325946334,56
540.0,1.142301688235294,0.009982884563382085,85
545.0,1.1449405733333333,0.010428395043323572,60
550.0,1.1447335777777778,0.007348156554039719,45
555.0,1.1385309745454546,0.00985757446855178,55
560.0,1.1397524743589742,0.009317048019436025,78
565.0,1.1383386098360655,0.009266697046443687,61
570.0,1.1389478234042552,0.007018209183824494,47
575.0,1.1280325690140844,0.01081911589715949,71
580.0,1.1279850069444446,0.008926028033132144,72
585.0,1.126753879310345,0.008317037192451228,58
590.0,1.1288145046875,0.008906013744538812,64
595.0,1.123998652727273,0.00999299976125612,55
600.0,1.1207749719999998,0.009132907641061058,75
605.0,1.120628131372549,0.008695324747299327,51
610.0,1.1236633962962963,0.00864112810612851,27
615.0,1.1180809666666667,0.007000506110989368,9
620.0,1.1224014,0.0,1
625.0,1.1196305,0.0,1
