step,volume,temperature,pressure
1000000.0,49433.804,294.27155,553.80661
1001000.0,49176.37,300.87147,143.06127
1002000.0,48625.979,296.66233,1539.574
1003000.0,49123.061,301.85213,-498.18706
1004000.0,49368.292,301.60777,-400.53234
1005000.0,49091.38,295.64378,1370.0941
1006000.0,49119.413,300.39899,582.70146
1007000.0,48889.93,297.54004,-1689.5767
1008000.0,48975.605,309.65578,394.71031
1009000.0,49277.007,306.06543,1879.1524
1010000.0,49249.956,300.51575,-1476.2598
1011000.0,49068.353,302.52663,271.45307
1012000.0,49376.804,297.6376,-1716.2904
1013000.0,49269.503,302.48045,883.44084
1014000.0,49220.898,302.88325,306.56775
1015000.0,49020.677,295.99904,313.22314
1016000.0,49269.982,308.41701,-1045.4507
1017000.0,49449.376,300.79768,-1598.0486
1018000.0,49142.306,303.3036,40.755553
1019000.0,49181.723,296.97368,-433.92431
1020000.0,49075.843,297.57867,272.00647
1021000.0,49248.245,305.48665,504.39498
1022000.0,48849.094,298.73467,-398.65224
1023000.0,49013.953,298.47853,-81.13633
1024000.0,49079.03,299.38317,-147.85729
1025000.0,49065.895,295.26402,471.44943
1026000.0,48952.152,296.5746,47.205355
1027000.0,48990.132,297.72583,967.70617
1028000.0,48886.564,296.34235,2331.6929
1029000.0,48850.556,300.9431,252.42428
1030000.0,49174.107,310.65475,27.881189
1031000.0,48974.584,294.54913,43.959824
1032000.0,49308.613,301.75316,433.76091
1033000.0,48679.084,304.44492,153.6835
1034000.0,48906.257,291.49891,204.57661
1035000.0,48870.035,301.83767,580.81511
1036000.0,48719.289,300.76458,-43.42479
1037000.0,49291.91,300.81933,54.286209
1038000.0,49189.287,300.25114,-915.63145
1039000.0,49079.227,302.48211,707.76049
1040000.0,49042.985,300.86998,1178.6117
1041000.0,49037.527,303.34921,-899.65429
1042000.0,48996.895,297.90313,-627.20857
1043000.0,48873.992,302.48584,1405.2087
1044000.0,49018.651,298.68432,256.6187
1045000.0,48969.596,299.64664,1906.1369
1046000.0,49096.062,298.11035,-434.36881
1047000.0,49071.085,302.20072,112.14338
1048000.0,49261.93,306.70898,548.3903
1049000.0,49432.255,305.09589,-173.60814
1050000.0,49009.596,296.3125,-1082.7292
1051000.0,49059.927,295.73322,276.40231
1052000.0,49275.002,301.73011,1037.1732
1053000.0,49360.681,300.5196,-1118.1291
1054000.0,49092.05,297.17735,684.82772
1055000.0,48824.507,300.8988,368.37902
1056000.0,49171.83,305.24074,-546.56552
1057000.0,48774.738,298.07352,949.2669
1058000.0,48851.927,303.09996,-1067.2195
1059000.0,49110.375,296.66124,183.99105
1060000.0,48832.699,301.21616,-641.80671
1061000.0,49320.773,302.616,919.42688
1062000.0,49175.634,299.38253,306.30699
1063000.0,49204.497,294.85523,-672.20113
1064000.0,48818.423,305.19314,613.90558
1065000.0,49158.667,297.60681,831.89912
1066000.0,49062.362,301.60806,926.36118
1067000.0,49118.513,302.21885,134.22612
1068000.0,49257.39,303.90216,830.0651
1069000.0,49325.029,298.38894,627.22774
1070000.0,48954.785,303.56491,-1278.4299
1071000.0,48797.735,305.27427,344.69356
1072000.0,48862.361,298.8667,341.75107
1073000.0,49116.979,297.51115,1599.7817
1074000.0,48822.05,302.74592,-28.596224
1075000.0,48721.585,297.22384,283.89301
1076000.0,49075.563,298.51149,935.19219
1077000.0,48986.62,296.05392,1272.7047
1078000.0,49177.711,297.15155,72.978848
1079000.0,49155.363,304.78358,-179.76266
1080000.0,49090.888,302.60897,234.89232
1081000.0,49164.039,302.58621,-1814.2928
1082000.0,49677.614,295.37576,1836.2849
1083000.0,49220.759,296.39636,-1342.2125
1084000.0,49164.103,295.55357,1559.0085
1085000.0,49443.783,301.09623,-1093.3751
1086000.0,49307.98,304.76813,402.0015
1087000.0,49302.302,305.49163,-535.05337
