temperature,mean_density,std_density,n_points
145.0,1.402194272972973,0.004413913630946052,74
150.0,1.4018814494485294,0.004356178284261587,544
155.0,1.40199254691358,0.004110406493130764,81
165.0,1.3949590847058826,0.004448189146118262,85
170.0,1.394608511969112,0.0047786501134869895,518
175.0,1.3949594010309279,0.004070962252150761,97
180.0,1.3970699,0.0,1
185.0,1.3894118848214287,0.005034281129912468,112
190.0,1.3901797368995634,0.004787573640444978,458
195.0,1.3900785312000004,0.0052652199989942534,125
200.0,1.3910390285714287,0.006734132448136759,7
205.0,1.385532770542636,0.005663235601245929,129
210.0,1.3858095900943397,0.005392665474735805,424
215.0,1.385883104347826,0.004950644499661105,138
220.0,1.3839630272727272,0.004725295107205685,11
225.0,1.3788711395833333,0.006016467407788525,144
230.0,1.3795099209756094,0.005830967177156364,410
235.0,1.3795375970149255,0.005734978996545508,134
240.0,1.369210892857143,0.011410078843350885,14
245.0,1.3670804050359713,0.006814277915527577,139
250.0,1.3663825479274612,0.005728325688866078,386
255.0,1.3668001865384616,0.005715314241478752,156
260.0,1.3628523875,0.008409617119512224,24
265.0,1.357993225949367,0.005560886082720199,158
270.0,1.3581806458689458,0.0065710827432343966,351
275.0,1.3585695672839506,0.006825448932809392,162
280.0,1.3572207896551725,0.00821288659048105,29
285.0,1.3499076063583815,0.0072955982082870754,173
290.0,1.3496985356495468,0.0072726426736006225,331
295.0,1.350672081707317,0.007308344640819049,164
300.0,1.352261477272727,0.007853978556205253,44
305.0,1.3481266725,0.007501021756865858,160
310.0,1.3472526194078949,0.007250858512942076,304
315.0,1.3474763028571428,0.007800163464065431,175
320.0,1.3414890016129033,0.010007122673417029,62
325.0,1.332801394047619,0.008080954287978342,168
330.0,1.333653174,0.007974794284485134,300
335.0,1.3330748627218936,0.007629912085040516,169
340.0,1.3260907970149254,0.011056312072514918,67
345.0,1.3214205543478261,0.010632464368669147,184
350.0,1.3234608710801392,0.009593583649165278,287
355.0,1.322219455900621,0.010169871692030114,161
360.0,1.3162082409638554,0.013182334158620052,83
365.0,1.305203730857143,0.008878269066456513,175
370.0,1.3047840601694918,0.010020366937279588,236
375.0,1.304324117989418,0.009066402363325666,189
380.0,1.2997125942857142,0.009142035436523938,105
385.0,1.293977906748466,0.009521416100969111,163
390.0,1.292221249621212,0.009257393893297687,264
395.0,1.2928491045751636,0.009243799905436894,153
400.0,1.2886514536585367,0.010952237319673158,123
405.0,1.2792819993506492,0.010440799196863011,154
410.0,1.276410358677686,0.010135719068999058,242
415.0,1.2775578126373628,0.009226857044645573,182
420.0,1.272066297580645,0.014212771159206695,124
425.0,1.2603875086206897,0.013173097609124464,174
430.0,1.2589319700892858,0.01003553192756126,224
435.0,1.2594746424418604,0.010764363443580782,172
440.0,1.2566290128,0.010512591474635395,125
445.0,1.250644029378531,0.011272312268479311,177
450.0,1.2493500350230415,0.011508426012599262,217
455.0,1.2481013046783624,0.012146038981741247,171
460.0,1.2458146934959349,0.011304527100634237,123
465.0,1.235206075141243,0.0127521231758076,177
470.0,1.2337247305936072,0.010476888427549744,219
475.0,1.23547626,0.012209551816214567,170
480.0,1.231108297986577,0.01286494389256507,149
485.0,1.2254722483146068,0.012617644565324448,178
490.0,1.2242587477064222,0.011072691033453505,218
495.0,1.223544630952381,0.011641909727112895,168
500.0,1.2196427540740742,0.013118263713524618,135
505.0,1.2105293585106383,0.01468393064657245,188
510.0,1.2102135232673268,0.014301294499109225,202
515.0,1.2083670917647058,0.014063298615178983,170
520.0,1.2076097517482518,0.015284937867708135,143
525.0,1.2022210731843574,0.01485797259542349,179
530.0,1.2012675717171717,0.014826341652582226,198
535.0,1.1986497981595092,0.013949526034018587,163
540.0,1.1966536718562875,0.015987400409203593,167
545.0,1.1912932428571428,0.015462387743107934,161
550.0,1.188993722,0.013567351404207173,200
555.0,1.1881922839999999,0.013216147001530015,150
560.0,1.186740780597015,0.012252022378530484,67
565.0,1.18848609,0.01358218061762901,30
570.0,1.1940059857142857,0.021537830373045814,7
575.0,1.1766019,0.0,1
