frame,timestep,chain,rx,ry,rz,distance
0,0,1,42.777244567871094,44.01896286010742,-0.7065000534057617,61.3845329284668
0,0,2,-36.330142974853516,-9.030401229858398,9.807544708251953,38.69903564453125
0,0,3,-17.557401657104492,9.999449729919434,-7.006099700927734,21.385433197021484
0,0,4,19.56078338623047,36.77214431762695,63.56083679199219,75.99207305908203
0,0,5,-15.073480606079102,9.680145263671875,-5.666799545288086,18.789030075073242
0,0,6,11.99850082397461,-11.640320777893066,-21.417720794677734,27.169464111328125
0,0,7,-19.752281188964844,21.57840919494629,16.84803581237793,33.758506774902344
0,0,8,3.5056381225585938,-20.410259246826172,-11.863960266113281,23.866748809814453
0,0,9,28.379741668701172,37.116905212402344,1.6664409637451172,46.753089904785156
0,0,10,-27.27899932861328,-1.0674434900283813,-17.928970336914062,32.660850524902344
1,1000,1,41.98313903808594,44.12190246582031,-0.37689971923828125,60.90540313720703
1,1000,2,-36.03564453125,-9.302591323852539,10.009441375732422,38.53952407836914
1,1000,3,-17.009679794311523,9.576420783996582,-5.849400520324707,20.377744674682617
1,1000,4,19.60291290283203,36.75494384765625,62.945919036865234,75.48104858398438
1,1000,5,-14.190670013427734,10.205242156982422,-4.920690536499023,18.158615112304688
1,1000,6,12.186410903930664,-11.902830123901367,-22.38248062133789,28.12759017944336
1,1000,7,-19.251371383666992,21.263179779052734,16.69991111755371,33.190738677978516
1,1000,8,3.5010948181152344,-21.063251495361328,-12.70884895324707,24.84819984436035
1,1000,9,28.982524871826172,37.853214263916016,4.032548904418945,47.84468460083008
1,1000,10,-29.51270294189453,-1.2762413024902344,-18.41699981689453,34.81112289428711
2,2000,1,42.92984390258789,44.181671142578125,-0.4485006332397461,61.605133056640625
2,2000,2,-35.79234313964844,-8.590242385864258,8.697200775146484,37.822288513183594
2,2000,3,-17.785541534423828,9.798579216003418,-5.957300186157227,21.16192626953125
2,2000,4,18.868953704833984,36.302242279052734,63.105018615722656,75.207275390625
2,2000,5,-14.426471710205078,9.555442810058594,-5.4301300048828125,18.136037826538086
2,2000,6,12.529560089111328,-12.459199905395508,-22.9486083984375,28.963083267211914
2,2000,7,-19.32494354248047,21.15022087097168,17.599210739135742,33.6231689453125
2,2000,8,1.7770214080810547,-20.606487274169922,-12.277162551879883,24.05231475830078
2,2000,9,28.71261215209961,36.41242218017578,2.52471923828125,46.43977737426758
2,2000,10,-29.577701568603516,-1.0799434185028076,-16.651479721069336,33.959957122802734
3,3000,1,42.44454574584961,44.663414001464844,-1.4260997772216797,61.63111114501953
3,3000,2,-35.23634338378906,-8.803621292114258,9.726444244384766,37.599300384521484
3,3000,3,-16.866857528686523,9.467820167541504,-6.335199356079102,20.35350799560547
3,3000,4,19.95473289489746,37.5732421875,63.66011047363281,76.5672836303711
3,3000,5,-14.984230041503906,8.225444793701172,-4.302772521972656,17.62665367126465
3,3000,6,12.910470962524414,-11.311090469360352,-22.89767837524414,28.616859436035156
3,3000,7,-19.701473236083984,21.365190505981445,18.993690490722656,34.71857833862305
3,3000,8,2.046415328979492,-22.170820236206055,-11.380941390991211,25.005178451538086
3,3000,9,26.001283645629883,37.98271942138672,2.8851699829101562,46.12025451660156
3,3000,10,-27.439403533935547,-1.2957000732421875,-18.521379470825195,33.13066864013672
4,4000,1,43.21414566040039,43.87944412231445,-1.0976991653442383,61.596046447753906
4,4000,2,-36.75334167480469,-8.56941032409668,10.586742401123047,39.195945739746094
4,4000,3,-17.5393123626709,9.780320167541504,-5.777099609375,20.896339416503906
4,4000,4,20.217391967773438,37.65874481201172,62.73847579956055,75.9146957397461
4,4000,5,-15.515701293945312,8.202739715576172,-4.759561538696289,18.184480667114258
4,4000,6,13.370410919189453,-10.475800514221191,-22.14910125732422,27.9122371673584
4,4000,7,-19.857662200927734,20.70216941833496,16.73331069946289,33.2100944519043
4,4000,8,2.0934600830078125,-21.240680694580078,-10.665691375732422,23.86013412475586
4,4000,9,28.441482543945312,38.34983825683594,1.7031784057617188,47.77581787109375
4,4000,10,-28.470998764038086,-2.35174560546875,-18.453330993652344,34.00961685180664
5,5000,1,42.43804168701172,45.202754974365234,-0.9513998031616211,62.00952911376953
5,5000,2,-37.32884216308594,-8.146099090576172,8.364498138427734,39.11222457885742
5,5000,3,-16.87795066833496,10.392518997192383,-6.970100402832031,21.010757446289062
5,5000,4,21.216421127319336,38.072044372558594,62.84070587158203,76.4759521484375
5,5000,5,-13.890630722045898,9.961143493652344,-3.7870006561279297,17.507579803466797
5,5000,6,12.411890029907227,-10.430800437927246,-22.542369842529297,27.76715850830078
5,5000,7,-19.276901245117188,21.79233169555664,16.746234893798828,33.569942474365234
5,5000,8,1.4314498901367188,-19.763092041015625,-10.442359924316406,22.398029327392578
5,5000,9,28.159683227539062,38.39116668701172,1.757791519165039,47.64387893676758
5,5000,10,-29.051101684570312,-2.2906434535980225,-18.64558219909668,34.595829010009766
6,6000,1,43.02273941040039,43.997459411621094,-0.6066007614135742,61.539424896240234
6,6000,2,-35.59484100341797,-7.972280502319336,10.237144470214844,37.88600158691406
6,6000,3,-17.35477638244629,10.426520347595215,-5.228999137878418,20.910356521606445
6,6000,4,20.10269546508789,36.7264404296875,62.378822326660156,75.12700653076172
6,6000,5,-15.75691032409668,7.7076416015625,-5.0905609130859375,18.264768600463867
6,6000,6,12.727910995483398,-10.48511028289795,-23.09743881225586,28.380081176757812
6,6000,7,-19.584901809692383,19.942279815673828,16.628070831298828,32.523155212402344
6,6000,8,0.19004058837890625,-20.496400833129883,-10.57996940612793,23.066736221313477
6,6000,9,28.592105865478516,34.959983825683594,3.415790557861328,45.2921257019043
6,6000,10,-29.510398864746094,-0.8310410976409912,-17.093551635742188,34.11368942260742
7,7000,1,42.33414077758789,44.731483459472656,-0.8480997085571289,61.593868255615234
7,7000,2,-36.49614715576172,-7.490400314331055,9.587539672851562,38.47071075439453
7,7000,3,-18.05420684814453,9.37830924987793,-6.288400650024414,21.294389724731445
7,7000,4,19.93862533569336,37.95314407348633,63.03266906738281,76.23062133789062
7,7000,5,-16.47593879699707,8.449142456054688,-6.173851013183594,19.51822280883789
7,7000,6,12.513570785522461,-10.450139045715332,-23.374813079833984,28.498714447021484
7,7000,7,-18.355464935302734,20.320480346679688,16.17025375366211,31.801292419433594
7,7000,8,-0.3869800567626953,-19.3397216796875,-11.807851791381836,22.662744522094727
7,7000,9,28.655733108520508,34.16336441040039,5.086830139160156,44.87942123413086
7,7000,10,-25.841901779174805,-0.6052413582801819,-18.144851684570312,31.58173370361328
8,8000,1,40.97574234008789,45.17859649658203,-0.3260993957519531,60.99363327026367
8,8000,2,-36.19134521484375,-8.028831481933594,10.456741333007812,38.51777648925781
8,8000,3,-17.761011123657227,9.740389823913574,-5.817600250244141,21.075416564941406
8,8000,4,20.750932693481445,37.86134338378906,62.958309173583984,76.3402328491211
8,8000,5,-15.91411018371582,10.057044982910156,-5.3611602783203125,19.574092864990234
8,8000,6,12.937799453735352,-11.48408031463623,-22.74030113220215,28.572574615478516
8,8000,7,-20.464683532714844,20.71847915649414,17.619110107421875,34.03662109375
8,8000,8,-0.8465595245361328,-19.77729034423828,-12.037981033325195,23.168315887451172
8,8000,9,29.604459762573242,35.56542205810547,3.8160400390625,46.431514739990234
8,8000,10,-28.0629825592041,0.12144088745117188,-17.920042037963867,33.2967529296875
